"anchor_id","anchor_hog","species","tissue","time_point","day","context","n_replicates","value","se","layer","stage_position"
"regulator_HOG:0004224","HOG:0004224","BSYL","root","T3",28.4898614550509,"root::T3",4,-0.735642235450186,0.255420190553428,"anchor",0.5
"regulator_HOG:0004224","HOG:0004224","BSYL","root","T4",42.7313175218636,"root::T4",4,-0.940441936335531,0.080839027421043,"anchor",0.75
"regulator_HOG:0004224","HOG:0004224","BSYL","root","T5",56.4998699010652,"root::T5",4,-0.230872785507248,0.229390767882122,"anchor",1
"regulator_HOG:0004224","HOG:0004224","FPRA","leaf","T1",7.47957433613505,"leaf::T1",4,0.415091981168553,0.261989104824717,"anchor",0
"regulator_HOG:0004224","HOG:0004224","FPRA","leaf","T2",14.5,"leaf::T2",4,0.296914220576598,0.417207243662563,"anchor",0.25
"regulator_HOG:0004224","HOG:0004224","FPRA","leaf","T3",28.4898614550509,"leaf::T3",4,0.310022966781622,0.746463299434032,"anchor",0.5
"regulator_HOG:0004224","HOG:0004224","FPRA","leaf","T4",42.7313175218636,"leaf::T4",4,-0.863456514124492,0.664884384843071,"anchor",0.75
"regulator_HOG:0004224","HOG:0004224","FPRA","leaf","T5",56.4998699010652,"leaf::T5",4,-0.0951167659423796,0.474039598897402,"anchor",1
"regulator_HOG:0004224","HOG:0004224","FPRA","root","T1",7.47957433613505,"root::T1",4,-0.276967578441207,0.0628933125387136,"anchor",0
"regulator_HOG:0004224","HOG:0004224","FPRA","root","T2",14.5,"root::T2",4,2.53387703074838,0.655801188739839,"anchor",0.25
"regulator_HOG:0004224","HOG:0004224","FPRA","root","T3",28.4898614550509,"root::T3",4,1.10616658579793,1.02093876808151,"anchor",0.5
"regulator_HOG:0004224","HOG:0004224","FPRA","root","T4",42.7313175218636,"root::T4",4,-0.479657330015951,0.433210005475436,"anchor",0.75
"regulator_HOG:0004224","HOG:0004224","FPRA","root","T5",56.4998699010652,"root::T5",4,-0.125549285350618,0.299297464968925,"anchor",1
"regulator_HOG:0004224","HOG:0004224","HJUB","leaf","T1",7.47957433613505,"leaf::T1",4,-0.474491842235627,0.211189803827937,"anchor",0
"regulator_HOG:0004224","HOG:0004224","HJUB","leaf","T2",14.5,"leaf::T2",4,0.0914591201898215,0.222467135745897,"anchor",0.25
"regulator_HOG:0004224","HOG:0004224","HJUB","leaf","T3",28.4898614550509,"leaf::T3",4,0.829968795651934,0.636824978149382,"anchor",0.5
"regulator_HOG:0004224","HOG:0004224","HJUB","leaf","T4",42.7313175218636,"leaf::T4",4,0.150851847663671,0.294348076183966,"anchor",0.75
"regulator_HOG:0004224","HOG:0004224","HJUB","leaf","T5",56.4998699010652,"leaf::T5",4,-0.280412614720483,0.181924573216578,"anchor",1
"regulator_HOG:0004224","HOG:0004224","HJUB","root","T1",7.47957433613505,"root::T1",4,-0.86677899909605,0.056867662790628,"anchor",0
"regulator_HOG:0004224","HOG:0004224","HJUB","root","T2",14.5,"root::T2",4,0.368034797540636,0.323424238371802,"anchor",0.25
"regulator_HOG:0004224","HOG:0004224","HJUB","root","T3",28.4898614550509,"root::T3",4,-0.128366399337594,0.702424832705137,"anchor",0.5
"regulator_HOG:0004224","HOG:0004224","HJUB","root","T4",42.7313175218636,"root::T4",4,0.849646357207956,0.348378613629785,"anchor",0.75
"regulator_HOG:0004224","HOG:0004224","HJUB","root","T5",56.4998699010652,"root::T5",4,0.412483629063335,0.29266672817106,"anchor",1
"regulator_HOG:0004224","HOG:0004224","HVUL","leaf","T1",7.47957433613505,"leaf::T1",4,-0.920013334034254,0.318732964360939,"anchor",0
"regulator_HOG:0004224","HOG:0004224","HVUL","leaf","T2",14.5,"leaf::T2",4,-0.256624917895043,0.233068540930975,"anchor",0.25
"regulator_HOG:0004224","HOG:0004224","HVUL","leaf","T3",28.4898614550509,"leaf::T3",4,-0.735018720526363,0.510008874895194,"anchor",0.5
"regulator_HOG:0004224","HOG:0004224","HVUL","leaf","T4",42.7313175218636,"leaf::T4",4,-0.558208469802495,0.0954884195434061,"anchor",0.75
"regulator_HOG:0004224","HOG:0004224","HVUL","leaf","T5",56.4998699010652,"leaf::T5",4,-0.633543880184391,0.725930606120417,"anchor",1
"regulator_HOG:0004224","HOG:0004224","HVUL","root","T1",7.47957433613505,"root::T1",4,0.0581453397036154,0.240174227069142,"anchor",0
"regulator_HOG:0004224","HOG:0004224","HVUL","root","T2",14.5,"root::T2",4,0.827923247650184,0.608196351070367,"anchor",0.25
"regulator_HOG:0004224","HOG:0004224","HVUL","root","T3",28.4898614550509,"root::T3",4,1.05879491450386,0.352081767594987,"anchor",0.5
"regulator_HOG:0004224","HOG:0004224","HVUL","root","T4",42.7313175218636,"root::T4",4,1.55932844560394,0.653359717692406,"anchor",0.75
"regulator_HOG:0004224","HOG:0004224","HVUL","root","T5",56.4998699010652,"root::T5",4,1.2795354927026,0.382040562619294,"anchor",1
"regulator_HOG:0004224","HOG:0004224","VBRO","leaf","T1",7.47957433613505,"leaf::T1",4,-0.24743959165827,0.108954490620232,"anchor",0
"regulator_HOG:0004224","HOG:0004224","VBRO","leaf","T2",14.5,"leaf::T2",4,1.59883375170086,0.678389036869691,"anchor",0.25
"regulator_HOG:0004224","HOG:0004224","VBRO","leaf","T3",28.4898614550509,"leaf::T3",3,-0.174564266283106,0.749359329153151,"anchor",0.5
"regulator_HOG:0004224","HOG:0004224","VBRO","leaf","T4",42.7313175218636,"leaf::T4",4,-0.275449093007954,1.55364267912602,"anchor",0.75
"regulator_HOG:0004224","HOG:0004224","VBRO","leaf","T5",56.4998699010652,"leaf::T5",4,-0.339051358935035,0.211768675931258,"anchor",1
"regulator_HOG:0004224","HOG:0004224","VBRO","root","T1",7.47957433613505,"root::T1",4,-1.11564165980827,0.0861395211237137,"anchor",0
"regulator_HOG:0004224","HOG:0004224","VBRO","root","T2",14.5,"root::T2",4,0.663949986840222,0.465657494617373,"anchor",0.25
"regulator_HOG:0004224","HOG:0004224","VBRO","root","T3",28.4898614550509,"root::T3",3,1.23732475811967,2.00210096630321,"anchor",0.5
"regulator_HOG:0004224","HOG:0004224","VBRO","root","T4",42.7313175218636,"root::T4",4,-0.0634396939519509,0.248559604241758,"anchor",0.75
"regulator_HOG:0004224","HOG:0004224","VBRO","root","T5",56.4998699010652,"root::T5",4,2.30695093895778,1.497306371101,"anchor",1
"anchor_162","HOG:0005857","BDIS","leaf","T1",7.47957433613505,"leaf::T1",4,0.0876032383549753,0.229488312670596,"anchor",0
"anchor_162","HOG:0005857","BDIS","leaf","T2",14.5,"leaf::T2",4,-1.12356947800458,0.51941970386932,"anchor",0.25
"anchor_162","HOG:0005857","BDIS","leaf","T3",28.4898614550509,"leaf::T3",4,-1.32233680039305,0.38584407361785,"anchor",0.5
"anchor_162","HOG:0005857","BDIS","leaf","T4",42.7313175218636,"leaf::T4",4,0.5495488144558,0.395250055075868,"anchor",0.75
"anchor_162","HOG:0005857","BDIS","leaf","T5",56.4998699010652,"leaf::T5",4,1.31849820124955,0.43682968404658,"anchor",1
"anchor_162","HOG:0005857","BDIS","root","T1",7.47957433613505,"root::T1",4,0.127912803912684,0.546361949599425,"anchor",0
"anchor_162","HOG:0005857","BDIS","root","T2",14.5,"root::T2",4,2.14071870829445,1.24477100778664,"anchor",0.25
"anchor_162","HOG:0005857","BDIS","root","T3",28.4898614550509,"root::T3",4,-0.936963100846882,0.63334217015041,"anchor",0.5
"anchor_162","HOG:0005857","BDIS","root","T4",42.7313175218636,"root::T4",4,-0.843385912864587,0.374574233548734,"anchor",0.75
"anchor_162","HOG:0005857","BDIS","root","T5",56.4998699010652,"root::T5",4,1.4090643753676,1.28886465254782,"anchor",1
"anchor_162","HOG:0005857","BMAX","leaf","T1",7.47957433613505,"leaf::T1",4,-1.75971798461804,0.086966639767668,"anchor",0
"anchor_162","HOG:0005857","BMAX","leaf","T2",14.5,"leaf::T2",4,-2.18860829864412,0.997617636205075,"anchor",0.25
"anchor_162","HOG:0005857","BMAX","leaf","T3",28.4898614550509,"leaf::T3",4,-0.388009823908501,0.112428696218192,"anchor",0.5
