"go_id","pval","padj_within_ranking","log2err","ES","NES","size","leadingEdge","main_pathway","TERM","ONTOLOGY","ranking","direction","n_directional_pairs","pair_consistency","pair_median_effects","padj_global"
"GO:0141187",0.00256096225644359,0.0250974301131472,0.431707695803346,0.820178222324333,1.68348421366328,11,"HOG:0032903;HOG:0025959;HOG:0032904;HOG:0026742;HOG:0027918;HOG:0011541;HOG:0005683",FALSE,"nucleic acid biosynthetic process","BP","root_mean_activity","annual",3,0.75,"Brachypodium=0.7265;Hordeum=0.1421;Briza=0.01259;Festuca/Vulpia=-0.06787",0.0465122086060573
"GO:0090304",0.00290907546325903,0.0259172177635804,0.431707695803346,0.749427819464988,1.68995290423782,17,"HOG:0032903;HOG:0025959;HOG:0032904;HOG:0026742;HOG:0027918;HOG:0011541;HOG:0003561;HOG:0006139;HOG:0005683",FALSE,"nucleic acid metabolic process","BP","root_mean_activity","annual",2,0.5,"Brachypodium=0.3967;Hordeum=0.09616;Briza=-0.003065;Festuca/Vulpia=-0.05272",0.0486737992145291
"GO:0006793",0.00394275042172559,0.0297222724099314,0.407017918923954,0.50745499506977,1.81712731383582,22,"HOG:0018459;HOG:0030062;HOG:0006505;HOG:0027147;HOG:0008733",TRUE,"phosphorus metabolic process","BP","leaf_mean_activity","annual",3,0.75,"Brachypodium=-0.04932;Hordeum=0.1278;Briza=0.03394;Festuca/Vulpia=0.01707",0.0558451970718617
"GO:0006796",0.00394275042172559,0.0297222724099314,0.407017918923954,0.50745499506977,1.81712731383582,22,"HOG:0018459;HOG:0030062;HOG:0006505;HOG:0027147;HOG:0008733",FALSE,"phosphate-containing compound metabolic process","BP","leaf_mean_activity","annual",3,0.75,"Brachypodium=-0.04932;Hordeum=0.1278;Briza=0.03394;Festuca/Vulpia=0.01707",0.0558451970718617
"GO:0003677",0.000628473631703633,0.030795207953478,0.477270815362862,0.850662731999472,1.59326650606301,13,"HOG:0010481;HOG:0032904;HOG:0010482;HOG:0027918;HOG:0025149;HOG:0011541;HOG:0025848;HOG:0026742;HOG:0032903",FALSE,"DNA binding","MF","root_early_to_late","annual",2,0.5,"Brachypodium=0.9331;Hordeum=-0.04381;Briza=-0.9026;Festuca/Vulpia=1.174",0.0215566455674346
"GO:0046914",0.00398894264799012,0.032576364958586,0.407017918923954,0.745910884392054,1.65536611606376,16,"HOG:0028333;HOG:0025959;HOG:0025149;HOG:0032765;HOG:0006332;HOG:0027918;HOG:0024976",FALSE,"transition metal ion binding","MF","root_mean_activity","annual",3,0.75,"Brachypodium=0.4098;Hordeum=0.07215;Briza=0.02205;Festuca/Vulpia=-0.0168",0.0558451970718617
"GO:0005515",0.00111093391543348,0.0336085263847882,0.45505986738723,0.687951376886515,1.45099578351715,69,"HOG:0023138;HOG:0028145;HOG:0005857;HOG:0027918;HOG:0025149;HOG:0023048;HOG:0011775;HOG:0010551;HOG:0027421;HOG:0032849;HOG:0011541;HOG:0010549;HOG:0006131;HOG:0025923;HOG:0026838;HOG:0006332;HOG:0026019;HOG:0027351;HOG:0003621;HOG:0017160;HOG:0005877;HOG:0026902",TRUE,"protein binding","MF","root_early_to_late","annual",3,0.75,"Brachypodium= 1.46;Hordeum=0.02523;Briza=-0.2715;Festuca/Vulpia=0.02274",0.0317541944161404
"GO:0090304",0.001405473339624,0.0336085263847882,0.45505986738723,0.819647978269274,1.58865697372263,17,"HOG:0032904;HOG:0027918;HOG:0005683;HOG:0011541;HOG:0025923;HOG:0025959;HOG:0026742;HOG:0003561;HOG:0032903;HOG:0006008",TRUE,"nucleic acid metabolic process","BP","root_early_to_late","annual",3,0.75,"Brachypodium=0.9713;Hordeum=0.02041;Briza=-0.6147;Festuca/Vulpia=0.6478",0.0385661884392826
"GO:0016070",0.00171472073391777,0.0336085263847882,0.45505986738723,0.826811743361182,1.5647080037839,14,"HOG:0032904;HOG:0027918;HOG:0005683;HOG:0011541;HOG:0025923;HOG:0025959;HOG:0026742;HOG:0032903",FALSE,"RNA metabolic process","BP","root_early_to_late","annual",3,0.75,"Brachypodium=1.221;Hordeum=0.05236;Briza=-0.7043;Festuca/Vulpia=0.8313",0.0435487247828702
"GO:0046914",0.00612383731637647,0.034370137541847,0.407017918923954,0.692959634392196,1.72444194602901,16,"HOG:0025149;HOG:0028145;HOG:0025959;HOG:0028333;HOG:0021825;HOG:0027918;HOG:0032765",FALSE,"transition metal ion binding","MF","leaf_early_to_late","annual",2,0.5,"Brachypodium=0.1755;Hordeum=-0.06392;Briza=0.1284;Festuca/Vulpia=-0.3172",0.0777954147969307
"GO:0034654",0.00701800331043302,0.034370137541847,0.407017918923954,0.686292963276618,1.75777848866014,17,"HOG:0032904;HOG:0032903;HOG:0026742;HOG:0005683;HOG:0025959;HOG:0026637;HOG:0027918;HOG:0024562;HOG:0011541",FALSE,"nucleobase-containing compound biosynthetic process","BP","leaf_early_to_late","annual",3,0.75,"Brachypodium=0.1999;Hordeum=0.4379;Briza=0.06981;Festuca/Vulpia=-0.1871",0.0843031533854956
"GO:0005634",0.00833172370962175,0.034370137541847,0.380730400722792,0.728925977706984,1.73107233477924,13,"HOG:0032904;HOG:0032903;HOG:0005683;HOG:0025959;HOG:0024277;HOG:0027918",FALSE,"nucleus","CC","leaf_early_to_late","annual",3,0.75,"Brachypodium=0.06023;Hordeum=0.4786;Briza=0.1896;Festuca/Vulpia=-0.3045",0.0874876228337923
"GO:0008270",0.00841717654086048,0.034370137541847,0.380730400722792,0.728192027435759,1.72932933062178,13,"HOG:0025149;HOG:0028145;HOG:0025959;HOG:0028333;HOG:0021825;HOG:0027918;HOG:0032765",TRUE,"zinc ion binding","MF","leaf_early_to_late","annual",3,0.75,"Brachypodium=0.2008;Hordeum=0.1576;Briza=0.3634;Festuca/Vulpia=-0.5646",0.0874876228337923
"GO:0008270",0.00607274433516492,0.0425092103461544,0.407017918923954,0.774578682390282,1.65067114271814,13,"HOG:0028333;HOG:0025959;HOG:0025149;HOG:0032765;HOG:0006332;HOG:0027918;HOG:0024976",TRUE,"zinc ion binding","MF","root_mean_activity","annual",3,0.75,"Brachypodium=0.7265;Hordeum=0.1073;Briza=0.03417;Festuca/Vulpia=-0.05504",0.0777954147969307
