"anchor_id","metric","anchor_hog","metric_type","statistic_orientation","concordant_mean","discordant_mean","signed_statistic","p_value","p_min","p_attainable","rank_from_top","n_tied_observed","n_tied_max","n_distinct_statistics","n_labellings","global_flip_multiplicity","blocked_label_space","blocked_p_min","blocked_p_attainable_at_best","blocked_p_below_0.05_attainable","q_bh","within_phylogenetic_pair_median"
"anchor_01","neighborhood_jaccard","HOG:0020610","similarity","concordant_minus_discordant",0.614538091802529,0.609409309117046,0.00512878268548345,0.257142857142857,0.0142857142857143,0.0285714285714286,18,2,2,35,70,2,16,0.0625,0.125,FALSE,0.847058823529412,0.620362158167036
"anchor_01","module_edge_jaccard","HOG:0020610","similarity","concordant_minus_discordant",0.710098339528125,0.705460526653788,0.0046378128743374,0.142857142857143,0.0142857142857143,0.0285714285714286,10,2,2,35,70,2,16,0.0625,0.125,FALSE,0.847058823529412,0.711004913262108
"anchor_01","matched_edge_correlation","HOG:0020610","similarity","concordant_minus_discordant",0.289794729493266,0.299380399392686,-0.00958566989941995,0.857142857142857,0.0142857142857143,0.0285714285714286,60,2,2,35,70,2,16,0.0625,0.125,FALSE,0.914285714285714,0.297923262244841
"anchor_01","matched_edge_mean_abs_log_threshold_distance","HOG:0020610","distance","discordant_minus_concordant",0.014911336356026,0.0148620237699781,-4.93125860478328e-05,0.457142857142857,0.0142857142857143,0.0285714285714286,32,2,2,35,70,2,16,0.0625,0.125,FALSE,0.847058823529412,0.0154421691534035
"anchor_02","neighborhood_jaccard","HOG:0020076","similarity","concordant_minus_discordant",0.612154501093755,0.621588158067118,-0.00943365697336296,0.857142857142857,0.0142857142857143,0.0285714285714286,60,2,2,35,70,2,16,0.0625,0.125,FALSE,0.914285714285714,0.639923511805786
"anchor_02","module_edge_jaccard","HOG:0020076","similarity","concordant_minus_discordant",0.71968427168817,0.713406703976587,0.00627756771158272,0.0857142857142857,0.0142857142857143,0.0285714285714286,6,2,2,35,70,2,16,0.0625,0.125,FALSE,0.847058823529412,0.72809836449559
"anchor_02","matched_edge_correlation","HOG:0020076","similarity","concordant_minus_discordant",0.283725446503202,0.295850961316113,-0.0121255148129107,0.914285714285714,0.0142857142857143,0.0285714285714286,64,2,2,35,70,2,16,0.0625,0.125,FALSE,0.914285714285714,0.292225814549592
"anchor_02","matched_edge_mean_abs_log_threshold_distance","HOG:0020076","distance","discordant_minus_concordant",0.0149689869498844,0.0148784747997234,-9.05121501609592e-05,0.542857142857143,0.0142857142857143,0.0285714285714286,38,2,2,35,70,2,16,0.0625,0.125,FALSE,0.847058823529412,0.01559358607735
"anchor_03","neighborhood_jaccard","HOG:0011532","similarity","concordant_minus_discordant",0.593929122844555,0.586052281240841,0.0078768416037146,0.257142857142857,0.0142857142857143,0.0285714285714286,18,2,2,35,70,2,16,0.0625,0.125,FALSE,0.847058823529412,0.575952458482579
"anchor_03","module_edge_jaccard","HOG:0011532","similarity","concordant_minus_discordant",0.73776085593351,0.730446148084148,0.00731470784936206,0.0571428571428571,0.0142857142857143,0.0285714285714286,4,2,2,35,70,2,16,0.0625,0.125,FALSE,0.847058823529412,0.745500007268465
"anchor_03","matched_edge_correlation","HOG:0011532","similarity","concordant_minus_discordant",0.295755811409009,0.306422067571138,-0.0106662561621285,0.771428571428571,0.0142857142857143,0.0285714285714286,54,2,2,35,70,2,16,0.0625,0.125,FALSE,0.903135888501742,0.294501376092537
"anchor_03","matched_edge_mean_abs_log_threshold_distance","HOG:0011532","distance","discordant_minus_concordant",0.014786601628174,0.0147629315783011,-2.3670049872887e-05,0.457142857142857,0.0142857142857143,0.0285714285714286,32,2,2,35,70,2,16,0.0625,0.125,FALSE,0.847058823529412,0.0154283577882216
"anchor_04","neighborhood_jaccard","HOG:0019394","similarity","concordant_minus_discordant",0.611515589013362,0.610197159298459,0.00131842971490337,0.428571428571429,0.0142857142857143,0.0285714285714286,30,2,2,35,70,2,16,0.0625,0.125,FALSE,0.847058823529412,0.603691654879774
"anchor_04","module_edge_jaccard","HOG:0019394","similarity","concordant_minus_discordant",0.721795894883297,0.71516498970701,0.00663090517628717,0.0857142857142857,0.0142857142857143,0.0285714285714286,6,2,2,35,70,2,16,0.0625,0.125,FALSE,0.847058823529412,0.703792812784516
"anchor_04","matched_edge_correlation","HOG:0019394","similarity","concordant_minus_discordant",0.294894324405645,0.299992521206981,-0.00509819680133566,0.6,0.0142857142857143,0.0285714285714286,42,2,2,35,70,2,16,0.0625,0.125,FALSE,0.847058823529412,0.281356049074106
"anchor_04","matched_edge_mean_abs_log_threshold_distance","HOG:0019394","distance","discordant_minus_concordant",0.0148582929299506,0.0148280275917827,-3.02653381679379e-05,0.457142857142857,0.0142857142857143,0.0285714285714286,32,2,2,35,70,2,16,0.0625,0.125,FALSE,0.847058823529412,0.0150738213783831
"anchor_05","neighborhood_jaccard","HOG:0006205","similarity","concordant_minus_discordant",0.589441917526073,0.5728376408253,0.016604276700773,0.0857142857142857,0.0142857142857143,0.0285714285714286,6,2,2,35,70,2,16,0.0625,0.125,FALSE,0.847058823529412,0.575558123802007
"anchor_05","module_edge_jaccard","HOG:0006205","similarity","concordant_minus_discordant",0.717708343832282,0.714703420044264,0.00300492378801809,0.285714285714286,0.0142857142857143,0.0285714285714286,20,2,2,35,70,2,16,0.0625,0.125,FALSE,0.847058823529412,0.711055593386479
"anchor_05","matched_edge_correlation","HOG:0006205","similarity","concordant_minus_discordant",0.301457031731421,0.313991074223539,-0.0125340424921182,0.857142857142857,0.0142857142857143,0.0285714285714286,60,2,2,35,70,2,16,0.0625,0.125,FALSE,0.914285714285714,0.308009477966459
