"anchor_id","anchor_hog","feature","interpretation","phylogenetic_pair","annual_species","perennial_species","annual_value","perennial_value","annual_minus_perennial"
"anchor_11","HOG:0026770","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Brachypodium","BDIS","BSYL",0.922535211267606,0.661971830985915,0.26056338028169
"anchor_11","HOG:0026770","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Hordeum","HVUL","HJUB",0.78169014084507,0.936619718309859,-0.154929577464789
"anchor_11","HOG:0026770","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Briza","BMAX","BMED",0.802816901408451,0.894366197183099,-0.0915492957746479
"anchor_11","HOG:0026770","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Festuca/Vulpia","VBRO","FPRA",0.830985915492958,0.943661971830986,-0.112676056338028
"anchor_11","HOG:0026770","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Brachypodium","BDIS","BSYL",0.953439925210086,0.680149903053589,0.273290022156497
"anchor_11","HOG:0026770","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Hordeum","HVUL","HJUB",0.806938321246983,0.968759572677211,-0.161821251430229
"anchor_11","HOG:0026770","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Briza","BMAX","BMED",0.826349244649305,0.925576305997872,-0.0992270613485672
"anchor_11","HOG:0026770","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Festuca/Vulpia","VBRO","FPRA",0.853919832007268,0.977943245919405,-0.124023413912137
"anchor_11","HOG:0026770","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Brachypodium","BDIS","BSYL",0.79459776864357,0.736215968885839,0.0583817997577316
"anchor_11","HOG:0026770","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Hordeum","HVUL","HJUB",0.816380016380016,0.859535201640465,-0.0431551852604485
"anchor_11","HOG:0026770","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Briza","BMAX","BMED",0.780779382083527,0.801024871891014,-0.0202454898074862
"anchor_11","HOG:0026770","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Festuca/Vulpia","VBRO","FPRA",0.759235115167319,0.847604084838963,-0.0883689696716445
"anchor_11","HOG:0026770","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Brachypodium","BDIS","BSYL",1,1,0
"anchor_11","HOG:0026770","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Hordeum","HVUL","HJUB",1,1,0
"anchor_11","HOG:0026770","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Briza","BMAX","BMED",1,1,0
"anchor_11","HOG:0026770","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Festuca/Vulpia","VBRO","FPRA",1,1,0
"anchor_12","HOG:0012056","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Brachypodium","BDIS","BSYL",0.880281690140845,0.598591549295775,0.28169014084507
"anchor_12","HOG:0012056","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Hordeum","HVUL","HJUB",0.76056338028169,0.971830985915493,-0.211267605633803
"anchor_12","HOG:0012056","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Briza","BMAX","BMED",0.830985915492958,0.845070422535211,-0.0140845070422535
"anchor_12","HOG:0012056","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Festuca/Vulpia","VBRO","FPRA",0.767605633802817,0.943661971830986,-0.176056338028169
"anchor_12","HOG:0012056","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Brachypodium","BDIS","BSYL",0.911165371555697,0.615637882578854,0.295527488976843
"anchor_12","HOG:0012056","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Hordeum","HVUL","HJUB",0.78275114813421,1.00481325277514,-0.222062104640935
"anchor_12","HOG:0012056","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Briza","BMAX","BMED",0.855303696067247,0.872948495687951,-0.0176447996207045
"anchor_12","HOG:0012056","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Festuca/Vulpia","VBRO","FPRA",0.788558515566006,0.978457805747721,-0.189899290181715
"anchor_12","HOG:0012056","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Brachypodium","BDIS","BSYL",0.803483870967742,0.773669467787115,0.0298144031806271
"anchor_12","HOG:0012056","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Hordeum","HVUL","HJUB",0.837313949463482,0.825981169998942,0.01133277946454
"anchor_12","HOG:0012056","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Briza","BMAX","BMED",0.746776763725916,0.839075630252101,-0.0922988665261846
"anchor_12","HOG:0012056","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Festuca/Vulpia","VBRO","FPRA",0.81515460414543,0.845808551228818,-0.0306539470833884
"anchor_12","HOG:0012056","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Brachypodium","BDIS","BSYL",1,1,0
"anchor_12","HOG:0012056","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Hordeum","HVUL","HJUB",1,1,0
"anchor_12","HOG:0012056","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Briza","BMAX","BMED",1,1,0
"anchor_12","HOG:0012056","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Festuca/Vulpia","VBRO","FPRA",1,1,0
