"anchor_id","anchor_hog","tissue","feature","interpretation","phylogenetic_pair","annual_species","perennial_species","annual_value","perennial_value","annual_minus_perennial"
"anchor_03","HOG:0011532","leaf","early_to_late","last minus first matched time-point module activity","Briza","BMAX","BMED",-0.141907513379213,-0.118967725759348,-0.0229397876198655
"anchor_03","HOG:0011532","leaf","early_to_late","last minus first matched time-point module activity","Festuca/Vulpia","VBRO","FPRA",-0.238196971413765,-0.254047508191762,0.0158505367779973
"anchor_03","HOG:0011532","root","mean_activity","equal-time-point mean module activity within tissue","Brachypodium","BDIS","BSYL",-0.653619304137987,-0.717692793719818,0.0640734895818318
"anchor_03","HOG:0011532","root","mean_activity","equal-time-point mean module activity within tissue","Hordeum","HVUL","HJUB",-0.651533698882924,-0.704626650159064,0.0530929512761406
"anchor_03","HOG:0011532","root","mean_activity","equal-time-point mean module activity within tissue","Briza","BMAX","BMED",-0.650342181960781,-0.638242616736491,-0.0120995652242899
"anchor_03","HOG:0011532","root","mean_activity","equal-time-point mean module activity within tissue","Festuca/Vulpia","VBRO","FPRA",-0.67218914918423,-0.642838160393763,-0.0293509887904667
"anchor_03","HOG:0011532","root","early_to_late","last minus first matched time-point module activity","Brachypodium","BDIS","BSYL",0.0272929652836239,-0.10977061622069,0.137063581504313
"anchor_03","HOG:0011532","root","early_to_late","last minus first matched time-point module activity","Hordeum","HVUL","HJUB",0.0097898426345101,0.0575216231897222,-0.0477317805552121
"anchor_03","HOG:0011532","root","early_to_late","last minus first matched time-point module activity","Briza","BMAX","BMED",0.123642706003519,0.00269288870370299,0.120949817299816
"anchor_03","HOG:0011532","root","early_to_late","last minus first matched time-point module activity","Festuca/Vulpia","VBRO","FPRA",0.0747961644720233,0.00404846475300868,0.0707476997190146
"anchor_04","HOG:0019394","leaf","mean_activity","equal-time-point mean module activity within tissue","Brachypodium","BDIS","BSYL",0.72221738820285,0.733348861193903,-0.011131472991053
"anchor_04","HOG:0019394","leaf","mean_activity","equal-time-point mean module activity within tissue","Hordeum","HVUL","HJUB",0.83499926906485,0.680098114693118,0.154901154371731
"anchor_04","HOG:0019394","leaf","mean_activity","equal-time-point mean module activity within tissue","Briza","BMAX","BMED",0.764402224267241,0.740203786244779,0.0241984380224618
"anchor_04","HOG:0019394","leaf","mean_activity","equal-time-point mean module activity within tissue","Festuca/Vulpia","VBRO","FPRA",0.842443982574413,0.778801777235952,0.0636422053384605
"anchor_04","HOG:0019394","leaf","early_to_late","last minus first matched time-point module activity","Brachypodium","BDIS","BSYL",-0.14019595473755,-0.28180940162927,0.14161344689172
"anchor_04","HOG:0019394","leaf","early_to_late","last minus first matched time-point module activity","Hordeum","HVUL","HJUB",-0.556418963411289,-0.105615807820891,-0.450803155590398
"anchor_04","HOG:0019394","leaf","early_to_late","last minus first matched time-point module activity","Briza","BMAX","BMED",-0.17849774046492,-0.127538008778476,-0.0509597316864443
"anchor_04","HOG:0019394","leaf","early_to_late","last minus first matched time-point module activity","Festuca/Vulpia","VBRO","FPRA",-0.262163642367235,-0.263388603986981,0.00122496161974583
"anchor_04","HOG:0019394","root","mean_activity","equal-time-point mean module activity within tissue","Brachypodium","BDIS","BSYL",-0.663396870506352,-0.698023284186842,0.0346264136804907
"anchor_04","HOG:0019394","root","mean_activity","equal-time-point mean module activity within tissue","Hordeum","HVUL","HJUB",-0.63755534905338,-0.707098790474082,0.0695434414207018
"anchor_04","HOG:0019394","root","mean_activity","equal-time-point mean module activity within tissue","Briza","BMAX","BMED",-0.651765795151826,-0.633121193739168,-0.0186446014126583
"anchor_04","HOG:0019394","root","mean_activity","equal-time-point mean module activity within tissue","Festuca/Vulpia","VBRO","FPRA",-0.612360429274557,-0.642277133986654,0.0299167047120968
"anchor_04","HOG:0019394","root","early_to_late","last minus first matched time-point module activity","Brachypodium","BDIS","BSYL",0.0251829836453548,-0.0636552647496728,0.0888382483950275
"anchor_04","HOG:0019394","root","early_to_late","last minus first matched time-point module activity","Hordeum","HVUL","HJUB",0.00470159642608492,0.0659105610337037,-0.0612089646076188
"anchor_04","HOG:0019394","root","early_to_late","last minus first matched time-point module activity","Briza","BMAX","BMED",0.0826477215631423,-0.0128622423190224,0.0955099638821647
"anchor_04","HOG:0019394","root","early_to_late","last minus first matched time-point module activity","Festuca/Vulpia","VBRO","FPRA",0.00620462416989542,0.00533114600228624,0.000873478167609187
"anchor_05","HOG:0006205","leaf","mean_activity","equal-time-point mean module activity within tissue","Brachypodium","BDIS","BSYL",0.708204902220094,0.734611132449821,-0.0264062302297265
"anchor_05","HOG:0006205","leaf","mean_activity","equal-time-point mean module activity within tissue","Hordeum","HVUL","HJUB",0.842868835135371,0.687889229554158,0.154979605581213
"anchor_05","HOG:0006205","leaf","mean_activity","equal-time-point mean module activity within tissue","Briza","BMAX","BMED",0.768655533525474,0.738589568461147,0.0300659650643278
"anchor_05","HOG:0006205","leaf","mean_activity","equal-time-point mean module activity within tissue","Festuca/Vulpia","VBRO","FPRA",0.759843824068435,0.778356069766428,-0.0185122456979936
"anchor_05","HOG:0006205","leaf","early_to_late","last minus first matched time-point module activity","Brachypodium","BDIS","BSYL",-0.124072848145016,-0.287379825699122,0.163306977554106
"anchor_05","HOG:0006205","leaf","early_to_late","last minus first matched time-point module activity","Hordeum","HVUL","HJUB",-0.559549216186269,-0.109972239267047,-0.449576976919221
"anchor_05","HOG:0006205","leaf","early_to_late","last minus first matched time-point module activity","Briza","BMAX","BMED",-0.181580479024606,-0.147052424576861,-0.0345280544477451
"anchor_05","HOG:0006205","leaf","early_to_late","last minus first matched time-point module activity","Festuca/Vulpia","VBRO","FPRA",-0.262512833293395,-0.242380828215697,-0.0201320050776981
"anchor_05","HOG:0006205","root","mean_activity","equal-time-point mean module activity within tissue","Brachypodium","BDIS","BSYL",-0.665885836588609,-0.729664035327865,0.063778198739256
"anchor_05","HOG:0006205","root","mean_activity","equal-time-point mean module activity within tissue","Hordeum","HVUL","HJUB",-0.633740418711995,-0.697541310930293,0.0638008922182979
"anchor_05","HOG:0006205","root","mean_activity","equal-time-point mean module activity within tissue","Briza","BMAX","BMED",-0.647414999372054,-0.637434627141887,-0.00998037223016679
"anchor_05","HOG:0006205","root","mean_activity","equal-time-point mean module activity within tissue","Festuca/Vulpia","VBRO","FPRA",-0.658280385179342,-0.641743574619068,-0.0165368105602733
"anchor_05","HOG:0006205","root","early_to_late","last minus first matched time-point module activity","Brachypodium","BDIS","BSYL",0.0367546799392006,-0.139703682154576,0.176458362093777
"anchor_05","HOG:0006205","root","early_to_late","last minus first matched time-point module activity","Hordeum","HVUL","HJUB",-2.62160214107299e-05,0.049236770654473,-0.0492629866758837
"anchor_05","HOG:0006205","root","early_to_late","last minus first matched time-point module activity","Briza","BMAX","BMED",0.0751307783335032,-0.0430455139672637,0.118176292300767
"anchor_05","HOG:0006205","root","early_to_late","last minus first matched time-point module activity","Festuca/Vulpia","VBRO","FPRA",0.0469932941389613,-0.00623074787707278,0.053224042016034
"anchor_06","HOG:0028766","leaf","mean_activity","equal-time-point mean module activity within tissue","Brachypodium","BDIS","BSYL",0.707556222585712,0.763441505889882,-0.0558852833041701
"anchor_06","HOG:0028766","leaf","mean_activity","equal-time-point mean module activity within tissue","Hordeum","HVUL","HJUB",0.839293083702094,0.710150236604459,0.129142847097635
"anchor_06","HOG:0028766","leaf","mean_activity","equal-time-point mean module activity within tissue","Briza","BMAX","BMED",0.807009811865875,0.744257579639626,0.0627522322262489
"anchor_06","HOG:0028766","leaf","mean_activity","equal-time-point mean module activity within tissue","Festuca/Vulpia","VBRO","FPRA",0.833925306635881,0.797767791628078,0.0361575150078031
"anchor_06","HOG:0028766","leaf","early_to_late","last minus first matched time-point module activity","Brachypodium","BDIS","BSYL",-0.117762548052693,-0.332187285492485,0.214424737439792
"anchor_06","HOG:0028766","leaf","early_to_late","last minus first matched time-point module activity","Hordeum","HVUL","HJUB",-0.546062403734004,-0.168245154270315,-0.377817249463689
"anchor_06","HOG:0028766","leaf","early_to_late","last minus first matched time-point module activity","Briza","BMAX","BMED",-0.224045407813253,-0.142393666637116,-0.0816517411761374
"anchor_06","HOG:0028766","leaf","early_to_late","last minus first matched time-point module activity","Festuca/Vulpia","VBRO","FPRA",-0.292357798421076,-0.266760295564574,-0.0255975028565012
"anchor_06","HOG:0028766","root","mean_activity","equal-time-point mean module activity within tissue","Brachypodium","BDIS","BSYL",-0.662022484633241,-0.681700638489744,0.019678153856503
"anchor_06","HOG:0028766","root","mean_activity","equal-time-point mean module activity within tissue","Hordeum","HVUL","HJUB",-0.637357816059339,-0.682262230398321,0.0449044143389816
"anchor_06","HOG:0028766","root","mean_activity","equal-time-point mean module activity within tissue","Briza","BMAX","BMED",-0.629704209582652,-0.632845655403265,0.00314144582061326
"anchor_06","HOG:0028766","root","mean_activity","equal-time-point mean module activity within tissue","Festuca/Vulpia","VBRO","FPRA",-0.618342223982406,-0.629751777152472,0.0114095531700656
"anchor_06","HOG:0028766","root","early_to_late","last minus first matched time-point module activity","Brachypodium","BDIS","BSYL",0.0350563284656262,-0.168118370121296,0.203174698586922
"anchor_06","HOG:0028766","root","early_to_late","last minus first matched time-point module activity","Hordeum","HVUL","HJUB",0.0156820013440401,0.0469493760683923,-0.0312673747243523
"anchor_06","HOG:0028766","root","early_to_late","last minus first matched time-point module activity","Briza","BMAX","BMED",0.0851789366483446,-0.0279385119956281,0.113117448643973
"anchor_06","HOG:0028766","root","early_to_late","last minus first matched time-point module activity","Festuca/Vulpia","VBRO","FPRA",0.00313450401832716,-0.00268333189035486,0.00581783590868201
"anchor_07","HOG:0011862","leaf","mean_activity","equal-time-point mean module activity within tissue","Brachypodium","BDIS","BSYL",0.715139268529244,0.739508026136441,-0.0243687576071966
"anchor_07","HOG:0011862","leaf","mean_activity","equal-time-point mean module activity within tissue","Hordeum","HVUL","HJUB",0.822826318009097,0.698687851752547,0.12413846625655
"anchor_07","HOG:0011862","leaf","mean_activity","equal-time-point mean module activity within tissue","Briza","BMAX","BMED",0.77813354158231,0.737538525572503,0.0405950160098072
