"anchor_id","anchor_hog","tissue","feature","interpretation","phylogenetic_pair","annual_species","perennial_species","annual_value","perennial_value","annual_minus_perennial"
"anchor_11","HOG:0026770","leaf","early_to_late","last minus first matched time-point module activity","Festuca/Vulpia","VBRO","FPRA",-0.269893444336043,-0.244021053906886,-0.025872390429157
"anchor_11","HOG:0026770","root","mean_activity","equal-time-point mean module activity within tissue","Brachypodium","BDIS","BSYL",-0.671980070841151,-0.717799124116112,0.0458190532749612
"anchor_11","HOG:0026770","root","mean_activity","equal-time-point mean module activity within tissue","Hordeum","HVUL","HJUB",-0.636025881682444,-0.691165071439197,0.0551391897567529
"anchor_11","HOG:0026770","root","mean_activity","equal-time-point mean module activity within tissue","Briza","BMAX","BMED",-0.64412202661508,-0.633841547862362,-0.0102804787527185
"anchor_11","HOG:0026770","root","mean_activity","equal-time-point mean module activity within tissue","Festuca/Vulpia","VBRO","FPRA",-0.620325356162598,-0.634879226382972,0.0145538702203737
"anchor_11","HOG:0026770","root","early_to_late","last minus first matched time-point module activity","Brachypodium","BDIS","BSYL",0.0478280726764987,3.65505956488876e-05,0.0477915220808498
"anchor_11","HOG:0026770","root","early_to_late","last minus first matched time-point module activity","Hordeum","HVUL","HJUB",0.00376787269384959,0.0433753165815999,-0.0396074438877503
"anchor_11","HOG:0026770","root","early_to_late","last minus first matched time-point module activity","Briza","BMAX","BMED",0.104031763930485,-0.0142807405926186,0.118312504523103
"anchor_11","HOG:0026770","root","early_to_late","last minus first matched time-point module activity","Festuca/Vulpia","VBRO","FPRA",0.00994914625876187,-0.00149228269968771,0.0114414289584496
"anchor_12","HOG:0012056","leaf","mean_activity","equal-time-point mean module activity within tissue","Brachypodium","BDIS","BSYL",0.706966340999629,0.69730188181284,0.00966445918678915
"anchor_12","HOG:0012056","leaf","mean_activity","equal-time-point mean module activity within tissue","Hordeum","HVUL","HJUB",0.795421581818785,0.684668906439109,0.110752675379675
"anchor_12","HOG:0012056","leaf","mean_activity","equal-time-point mean module activity within tissue","Briza","BMAX","BMED",0.749000217529881,0.729070012768268,0.0199302047616131
"anchor_12","HOG:0012056","leaf","mean_activity","equal-time-point mean module activity within tissue","Festuca/Vulpia","VBRO","FPRA",0.789882612059072,0.77640477663224,0.0134778354268317
"anchor_12","HOG:0012056","leaf","early_to_late","last minus first matched time-point module activity","Brachypodium","BDIS","BSYL",-0.114367902850779,-0.237002945307696,0.122635042456916
"anchor_12","HOG:0012056","leaf","early_to_late","last minus first matched time-point module activity","Hordeum","HVUL","HJUB",-0.479329227590261,-0.10268728593867,-0.376641941651591
"anchor_12","HOG:0012056","leaf","early_to_late","last minus first matched time-point module activity","Briza","BMAX","BMED",-0.152065946081319,-0.119321016324256,-0.0327449297570633
"anchor_12","HOG:0012056","leaf","early_to_late","last minus first matched time-point module activity","Festuca/Vulpia","VBRO","FPRA",-0.240507452053015,-0.22089192931765,-0.0196155227353648
"anchor_12","HOG:0012056","root","mean_activity","equal-time-point mean module activity within tissue","Brachypodium","BDIS","BSYL",-0.673624492889802,-0.709998329484243,0.036373836594441
"anchor_12","HOG:0012056","root","mean_activity","equal-time-point mean module activity within tissue","Hordeum","HVUL","HJUB",-0.646804015898999,-0.705406360092699,0.0586023441937001
"anchor_12","HOG:0012056","root","mean_activity","equal-time-point mean module activity within tissue","Briza","BMAX","BMED",-0.655281771867894,-0.640584529171194,-0.0146972426967005
"anchor_12","HOG:0012056","root","mean_activity","equal-time-point mean module activity within tissue","Festuca/Vulpia","VBRO","FPRA",-0.651370379737738,-0.645483912843187,-0.0058864668945513
"anchor_12","HOG:0012056","root","early_to_late","last minus first matched time-point module activity","Brachypodium","BDIS","BSYL",0.057071559200632,0.0157378848613007,0.0413336743393313
"anchor_12","HOG:0012056","root","early_to_late","last minus first matched time-point module activity","Hordeum","HVUL","HJUB",0.013779745634484,0.0717482476898366,-0.0579685020553525
"anchor_12","HOG:0012056","root","early_to_late","last minus first matched time-point module activity","Briza","BMAX","BMED",0.0717486322663322,-0.0239428821773341,0.0956915144436663
"anchor_12","HOG:0012056","root","early_to_late","last minus first matched time-point module activity","Festuca/Vulpia","VBRO","FPRA",0.0538688698270825,0.0111973773594072,0.0426714924676753
