"anchor_id","anchor_hog","feature","interpretation","median_annual_minus_perennial","n_annual_higher","n_perennial_higher","n_equal","majority_direction","n_agreeing_with_majority","pair_consistency","absolute_median_contrast","discovery_rank"
"anchor_143","HOG:0006346","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs",-0.309986390719831,0,4,0,"perennial_higher",4,1,0.309986390719831,1
"anchor_143","HOG:0006346","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors",-0.303571428571429,0,4,0,"perennial_higher",4,1,0.303571428571429,2
"anchor_269","HOG:0016116","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs",-0.299432486044256,0,4,0,"perennial_higher",4,1,0.299432486044256,3
"anchor_269","HOG:0016116","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors",-0.282051282051282,0,4,0,"perennial_higher",4,1,0.282051282051282,4
"anchor_323","HOG:0026451","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs",0.235085916096027,4,0,0,"annual_higher",4,1,0.235085916096027,5
"anchor_172","HOG:0007645","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs",-0.23222374716632,0,4,0,"perennial_higher",4,1,0.23222374716632,6
"anchor_172","HOG:0007645","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors",-0.224489795918367,0,4,0,"perennial_higher",4,1,0.224489795918367,7
"anchor_165","HOG:0027303","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs",-0.203440472795518,0,4,0,"perennial_higher",4,1,0.203440472795518,8
"anchor_322","HOG:0003621","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs",0.198564984573606,4,0,0,"annual_higher",4,1,0.198564984573606,9
"anchor_77","HOG:0024401","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs",-0.197981949787895,0,4,0,"perennial_higher",4,1,0.197981949787895,10
"anchor_322","HOG:0003621","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors",0.195121951219512,4,0,0,"annual_higher",4,1,0.195121951219512,11
"anchor_165","HOG:0027303","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors",-0.193877551020408,0,4,0,"perennial_higher",4,1,0.193877551020408,12
"anchor_77","HOG:0024401","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors",-0.191176470588235,0,4,0,"perennial_higher",4,1,0.191176470588235,13
"anchor_193","HOG:0027905","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs",0.179565963185497,4,0,0,"annual_higher",4,1,0.179565963185497,14
"anchor_224","HOG:0020382","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies",-0.17865589694858,0,4,0,"perennial_higher",4,1,0.17865589694858,15
"anchor_193","HOG:0027905","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors",0.172413793103448,4,0,0,"annual_higher",4,1,0.172413793103448,16
"anchor_295","HOG:0031418","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs",0.165504846486561,4,0,0,"annual_higher",4,1,0.165504846486561,17
"anchor_236","HOG:0003795","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs",0.162486480710432,4,0,0,"annual_higher",4,1,0.162486480710432,18
"anchor_327","HOG:0026946","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs",0.161238277015195,4,0,0,"annual_higher",4,1,0.161238277015195,19
"anchor_295","HOG:0031418","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors",0.16,4,0,0,"annual_higher",4,1,0.16,20
"anchor_104","HOG:0021825","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs",0.158254777217326,4,0,0,"annual_higher",4,1,0.158254777217326,21
"anchor_104","HOG:0021825","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors",0.153846153846154,4,0,0,"annual_higher",4,1,0.153846153846154,22
"anchor_164","HOG:0027054","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs",0.15082445386018,4,0,0,"annual_higher",4,1,0.15082445386018,23
"anchor_272","HOG:0027413","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs",-0.144990638637087,0,4,0,"perennial_higher",4,1,0.144990638637087,24
"anchor_164","HOG:0027054","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors",0.144736842105263,4,0,0,"annual_higher",4,1,0.144736842105263,25
"anchor_200","HOG:0005639","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs",-0.143629969145996,0,4,0,"perennial_higher",4,1,0.143629969145996,26
"anchor_200","HOG:0005639","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors",-0.140625,0,4,0,"perennial_higher",4,1,0.140625,27
"anchor_322","HOG:0003621","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies",-0.140375495025596,0,4,0,"perennial_higher",4,1,0.140375495025596,28
"anchor_272","HOG:0027413","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors",-0.137254901960784,0,4,0,"perennial_higher",4,1,0.137254901960784,29
"anchor_288","HOG:0026637","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies",-0.125798191129999,0,4,0,"perennial_higher",4,1,0.125798191129999,30
