"anchor_id","anchor_hog","species1","species2","neighborhood_jaccard","n_matched_module_edges","n_informative_module_edges","n_shared_present_edges","module_edge_jaccard","matched_edge_correlation","matched_edge_mean_abs_log_threshold_distance","enough_edges_for_correlation"
"anchor_02","HOG:0020076","BSYL","BMAX",0.519774011299435,4186,3837,2435,0.634610372686995,0.17778373543885,0.0153838960342008,TRUE
"anchor_02","HOG:0020076","BSYL","BMED",0.53072625698324,4465,4219,2781,0.659160938611045,0.244255140605208,0.0164468349043785,TRUE
"anchor_02","HOG:0020076","BSYL","VBRO",0.549707602339181,4371,3947,2561,0.648847225741069,0.262855240368502,0.013554143833656,TRUE
"anchor_02","HOG:0020076","BSYL","FPRA",0.520833333333333,4851,4641,3025,0.651799181210946,0.216066957380184,0.0176555168159347,TRUE
"anchor_02","HOG:0020076","HVUL","HJUB",0.618556701030928,6786,6466,4721,0.730126817197649,0.241652365681091,0.0150998290835169,TRUE
"anchor_02","HOG:0020076","HVUL","BMAX",0.672619047619048,6105,5586,3923,0.702291442892947,0.262789775636377,0.0145999871315896,TRUE
"anchor_02","HOG:0020076","HVUL","BMED",0.682352941176471,5995,5696,4059,0.712605337078652,0.291258752667021,0.0150770381644991,TRUE
"anchor_02","HOG:0020076","HVUL","VBRO",0.629411764705882,5565,5155,3668,0.711542192046557,0.271709197210058,0.0140794352800084,TRUE
"anchor_02","HOG:0020076","HVUL","FPRA",0.591623036649215,6328,6113,4469,0.731064943562899,0.268401415662234,0.0158778449144889,TRUE
"anchor_02","HOG:0020076","HJUB","BMAX",0.631313131313131,7381,6878,5007,0.72797324803722,0.320823762632869,0.0141359989858523,TRUE
"anchor_02","HOG:0020076","HJUB","BMED",0.6318407960199,7626,7168,5497,0.766880580357143,0.322934393224946,0.014215233844355,TRUE
"anchor_02","HOG:0020076","HJUB","VBRO",0.619289340101523,6786,6391,4759,0.744640901267407,0.292647711920916,0.0145045272904267,TRUE
"anchor_02","HOG:0020076","HJUB","FPRA",0.632075471698113,8001,7708,6063,0.786585365853659,0.309210563218514,0.0147295208336707,TRUE
"anchor_02","HOG:0020076","BMAX","BMED",0.676136363636364,6670,6122,4445,0.726069911793532,0.342799263418093,0.0143879430475367,TRUE
"anchor_02","HOG:0020076","BMAX","VBRO",0.653179190751445,6216,5639,4020,0.712892356800851,0.314579240683356,0.013758205728238,TRUE
"anchor_02","HOG:0020076","BMAX","FPRA",0.664893617021277,7140,6746,4899,0.726208123332345,0.311042541873186,0.015505267253461,TRUE
"anchor_02","HOG:0020076","BMED","VBRO",0.64406779661017,6216,5747,4228,0.735688185140073,0.356471852514312,0.0143569672838174,TRUE
"anchor_02","HOG:0020076","BMED","FPRA",0.65625,7381,7002,5516,0.787774921451014,0.387461172761906,0.0141217693031935,TRUE
"anchor_02","HOG:0020076","VBRO","FPRA",0.661290322580645,6786,6291,4617,0.733905579399142,0.343699639992296,0.0160873430711831,TRUE
"anchor_03","HOG:0011532","BDIS","BSYL",0.58433734939759,4186,3987,2688,0.674191121143717,0.218775070322367,0.0160628881974812,TRUE
"anchor_03","HOG:0011532","BDIS","HVUL",0.55952380952381,4371,4157,3188,0.766899206158287,0.237212409892946,0.0155309537962274,TRUE
"anchor_03","HOG:0011532","BDIS","HJUB",0.635416666666667,6786,6389,5041,0.789012365002348,0.377434926354653,0.0138800283672722,TRUE
"anchor_03","HOG:0011532","BDIS","BMAX",0.551515151515152,4005,3832,3176,0.828810020876827,0.410893011925586,0.0131662816633665,TRUE
"anchor_03","HOG:0011532","BDIS","BMED",0.560606060606061,5886,5612,4302,0.766571632216679,0.350762287658334,0.0147103301841997,TRUE
"anchor_03","HOG:0011532","BDIS","VBRO",0.582352941176471,4753,4531,3562,0.786139924961377,0.275033250096824,0.015093565281144,TRUE
"anchor_03","HOG:0011532","BDIS","FPRA",0.636363636363636,6903,6536,5102,0.780599755201958,0.372303074897927,0.0146917300066671,TRUE
"anchor_03","HOG:0011532","BSYL","HVUL",0.562091503267974,3655,3369,2170,0.64410804392995,0.266615738242446,0.0145343480140869,TRUE
"anchor_03","HOG:0011532","BSYL","HJUB",0.53968253968254,4851,4607,3076,0.66767961797265,0.19102321071798,0.0155452855311872,TRUE
"anchor_03","HOG:0011532","BSYL","BMAX",0.522875816993464,3160,2991,2012,0.672684720829154,0.186686415730449,0.0155202301400198,TRUE
"anchor_03","HOG:0011532","BSYL","BMED",0.521276595744681,4656,4253,2738,0.64378086056901,0.240700598752961,0.0162776990114932,TRUE
"anchor_03","HOG:0011532","BSYL","VBRO",0.556962025316456,3828,3569,2386,0.668534603530401,0.239870336198938,0.0138232984599186,TRUE
"anchor_03","HOG:0011532","BSYL","FPRA",0.505,4950,4624,3008,0.650519031141868,0.220206960881742,0.0172638159218487,TRUE
"anchor_03","HOG:0011532","HVUL","HJUB",0.567567567567568,5460,5184,3815,0.735918209876543,0.266683845373649,0.0148797625946426,TRUE
"anchor_03","HOG:0011532","HVUL","BMAX",0.633802816901408,3916,3637,2819,0.775089359362112,0.284526862275846,0.0142397206005478,TRUE
"anchor_03","HOG:0011532","HVUL","BMED",0.601123595505618,5253,5009,3467,0.692154122579357,0.314980494208712,0.0149567267583815,TRUE
"anchor_03","HOG:0011532","HVUL","VBRO",0.622516556291391,4278,4099,2985,0.728226396682118,0.275720740750452,0.0142403271304155,TRUE
"anchor_03","HOG:0011532","HVUL","FPRA",0.595744680851064,5671,5425,3875,0.714285714285714,0.282349658201769,0.0158085746135536,TRUE
"anchor_03","HOG:0011532","HJUB","BMAX",0.551912568306011,5050,4794,3779,0.788277012932833,0.365341906571552,0.0134444765820251,TRUE
"anchor_03","HOG:0011532","HJUB","BMED",0.660098522167488,8256,7680,5636,0.733854166666667,0.346120131064756,0.0141004231073833,TRUE
"anchor_03","HOG:0011532","HJUB","VBRO",0.65,6555,6194,4691,0.757345818534065,0.308182657808987,0.0142633337656708,TRUE
"anchor_03","HOG:0011532","HJUB","FPRA",0.66824644549763,9180,8590,6484,0.754831199068685,0.325490955731796,0.0145427264333116,TRUE
"anchor_03","HOG:0011532","BMAX","BMED",0.567415730337079,4950,4594,3503,0.762516325642142,0.340090877732388,0.0142126568600048,TRUE
"anchor_03","HOG:0011532","BMAX","VBRO",0.614864864864865,4095,3883,2998,0.772083440638681,0.320664321521244,0.0136306120912925,TRUE
"anchor_03","HOG:0011532","BMAX","FPRA",0.563829787234043,5151,4855,3710,0.764160659114315,0.349648940666853,0.0149717853084524,TRUE
"anchor_03","HOG:0011532","BMED","VBRO",0.613259668508287,6105,5706,4118,0.721696459866807,0.340707944357753,0.0144697824186403,TRUE
"anchor_03","HOG:0011532","BMED","FPRA",0.668269230769231,8256,7579,5648,0.74521704710384,0.421477283295975,0.0138078089698698,TRUE
"anchor_03","HOG:0011532","VBRO","FPRA",0.607329842931937,6328,6051,4569,0.755081804660387,0.322318906811425,0.0159769529818006,TRUE
"anchor_04","HOG:0019394","BDIS","BSYL",0.588571428571429,4950,4639,3103,0.668894158223755,0.219890938770686,0.0159697536115299,TRUE
"anchor_04","HOG:0019394","BDIS","HVUL",0.672316384180791,6903,6264,4295,0.68566411238825,0.251649698074622,0.0154632970391724,TRUE
