"anchor_id","anchor_hog","species","tissue","time_point","day","context","n_replicates","n_core_hogs_present","n_core_hogs_scored","n_core_hogs_unresolved_present","core_hog_coverage","module_score_mean","module_score_sd","module_score_se","anchor_score_mean","anchor_score_sd"
"anchor_01","HOG:0020610","BDIS","leaf","T1",7.47957433613505,"leaf::T1",4,157,135,22,0.859872611464968,0.778148939341206,0.0185958359005833,0.00929791795029165,0.767693650389123,0.01405617801531
"anchor_01","HOG:0020610","BDIS","leaf","T2",14.5,"leaf::T2",4,157,135,22,0.859872611464968,0.77725889628353,0.0410802066547959,0.020540103327398,0.747568367334537,0.0481407276188383
"anchor_01","HOG:0020610","BDIS","leaf","T3",28.4898614550509,"leaf::T3",4,157,135,22,0.859872611464968,0.744059465681858,0.0757182905796015,0.0378591452898008,0.748894469726992,0.110579228519407
"anchor_01","HOG:0020610","BDIS","leaf","T4",42.7313175218636,"leaf::T4",4,157,135,22,0.859872611464968,0.721534563455893,0.0386025154524426,0.0193012577262213,0.715369358537911,0.0392582256747354
"anchor_01","HOG:0020610","BDIS","leaf","T5",56.4998699010652,"leaf::T5",4,157,135,22,0.859872611464968,0.621745757346612,0.0973255700392483,0.0486627850196242,0.627917049848889,0.0706743145288541
"anchor_01","HOG:0020610","BDIS","root","T1",7.47957433613505,"root::T1",4,157,135,22,0.859872611464968,-0.652630661995751,0.0434636606389136,0.0217318303194568,-0.639544919738555,0.0383868281341736
"anchor_01","HOG:0020610","BDIS","root","T2",14.5,"root::T2",4,157,135,22,0.859872611464968,-0.654214827076941,0.0149054637102161,0.00745273185510804,-0.552084420267598,0.0234087608515075
"anchor_01","HOG:0020610","BDIS","root","T3",28.4898614550509,"root::T3",4,157,135,22,0.859872611464968,-0.652421157045925,0.0252728313123076,0.0126364156561538,-0.645019982661019,0.0236880873204604
"anchor_01","HOG:0020610","BDIS","root","T4",42.7313175218636,"root::T4",4,157,135,22,0.859872611464968,-0.67175121000427,0.0229208092345501,0.011460404617275,-0.623227178862223,0.0581005430915832
"anchor_01","HOG:0020610","BDIS","root","T5",56.4998699010652,"root::T5",4,157,135,22,0.859872611464968,-0.63606850116469,0.0256251742559863,0.0128125871279932,-0.662565361828214,0.0643690144611284
"anchor_01","HOG:0020610","BSYL","leaf","T1",7.47957433613505,"leaf::T1",4,157,110,47,0.700636942675159,0.906680144003685,0.0230469128123006,0.0115234564061503,0.977866365914765,0.0202593317954987
"anchor_01","HOG:0020610","BSYL","leaf","T2",14.5,"leaf::T2",4,157,110,47,0.700636942675159,0.911122241103589,0.0459591812482863,0.0229795906241432,0.973714213609917,0.0457658229715606
"anchor_01","HOG:0020610","BSYL","leaf","T3",28.4898614550509,"leaf::T3",4,157,110,47,0.700636942675159,0.783600635274808,0.0991269884281059,0.049563494214053,0.886885408121795,0.0841438696272188
"anchor_01","HOG:0020610","BSYL","leaf","T4",42.7313175218636,"leaf::T4",4,157,110,47,0.700636942675159,0.649375135066149,0.0973726130090993,0.0486863065045497,0.750168508827025,0.0671683887037061
"anchor_01","HOG:0020610","BSYL","leaf","T5",56.4998699010652,"leaf::T5",4,157,110,47,0.700636942675159,0.571963826684006,0.111246267630689,0.0556231338153444,0.656662959766429,0.0968612035657251
"anchor_01","HOG:0020610","BSYL","root","T1",7.47957433613505,"root::T1",4,157,110,47,0.700636942675159,-0.646699720121044,0.0157139082829586,0.00785695414147932,-0.528488392835597,0.0155499324084563
"anchor_01","HOG:0020610","BSYL","root","T2",14.5,"root::T2",4,157,110,47,0.700636942675159,-0.671144100598923,0.0140048027998346,0.0070024013999173,-0.602385730433861,0.0476486426982456
"anchor_01","HOG:0020610","BSYL","root","T3",28.4898614550509,"root::T3",4,157,110,47,0.700636942675159,-0.69299660756159,0.0229774770700071,0.0114887385350035,-0.59662877384734,0.0420480023193192
"anchor_01","HOG:0020610","BSYL","root","T4",42.7313175218636,"root::T4",4,157,110,47,0.700636942675159,-0.620324160562882,0.0298795145030656,0.0149397572515328,-0.553674421390227,0.0445954896944331
"anchor_01","HOG:0020610","BSYL","root","T5",56.4998699010652,"root::T5",4,157,110,47,0.700636942675159,-0.751856563384336,0.253887415078847,0.126943707539423,-0.720376108167508,0.112126589194661
"anchor_01","HOG:0020610","HVUL","leaf","T1",7.47957433613505,"leaf::T1",4,157,134,23,0.853503184713376,1.09486188616876,0.034568895425311,0.0172844477126555,1.18812204632145,0.029098247220662
"anchor_01","HOG:0020610","HVUL","leaf","T2",14.5,"leaf::T2",4,157,134,23,0.853503184713376,0.924680964958943,0.0544285969830385,0.0272142984915193,0.976488082160802,0.0685906194450996
"anchor_01","HOG:0020610","HVUL","leaf","T3",28.4898614550509,"leaf::T3",4,157,134,23,0.853503184713376,0.810553114335392,0.0877779596374007,0.0438889798187004,0.949142902470307,0.154182145098558
"anchor_01","HOG:0020610","HVUL","leaf","T4",42.7313175218636,"leaf::T4",4,157,134,23,0.853503184713376,0.790392085777692,0.0576031568886654,0.0288015784443327,0.91273668780593,0.115029184659187
"anchor_01","HOG:0020610","HVUL","leaf","T5",56.4998699010652,"leaf::T5",4,157,134,23,0.853503184713376,0.524805415649947,0.111897726033215,0.0559488630166076,0.620051038783744,0.160203276314935
"anchor_01","HOG:0020610","HVUL","root","T1",7.47957433613505,"root::T1",4,157,134,23,0.853503184713376,-0.595487222713429,0.0271180750557481,0.0135590375278741,-0.488465904441443,0.0493424173128209
"anchor_01","HOG:0020610","HVUL","root","T2",14.5,"root::T2",4,157,134,23,0.853503184713376,-0.622902090329604,0.0302196708665029,0.0151098354332515,-0.561140755422211,0.0849722518257718
"anchor_01","HOG:0020610","HVUL","root","T3",28.4898614550509,"root::T3",4,157,134,23,0.853503184713376,-0.728643735229885,0.199237050710782,0.0996185253553908,-0.643870343432203,0.197102819636197
"anchor_01","HOG:0020610","HVUL","root","T4",42.7313175218636,"root::T4",4,157,134,23,0.853503184713376,-0.659592122918388,0.0557253661841195,0.0278626830920598,-0.573132719020579,0.0806021192003723
"anchor_01","HOG:0020610","HVUL","root","T5",56.4998699010652,"root::T5",4,157,134,23,0.853503184713376,-0.582840293383224,0.0452728424007375,0.0226364212003688,-0.509412213099177,0.0712316442046054
"anchor_01","HOG:0020610","HJUB","leaf","T1",7.47957433613505,"leaf::T1",4,157,142,15,0.904458598726115,0.763613078108607,0.0196978764332398,0.00984893821661989,0.797709665320266,0.0229395941218382
"anchor_01","HOG:0020610","HJUB","leaf","T2",14.5,"leaf::T2",4,157,142,15,0.904458598726115,0.785262153329288,0.0263402317574882,0.0131701158787441,0.793348512684074,0.058454307401328
"anchor_01","HOG:0020610","HJUB","leaf","T3",28.4898614550509,"leaf::T3",4,157,142,15,0.904458598726115,0.706808536704381,0.0249994629120698,0.0124997314560349,0.712080836214109,0.0347980634217199
"anchor_01","HOG:0020610","HJUB","leaf","T4",42.7313175218636,"leaf::T4",4,157,142,15,0.904458598726115,0.633372295335265,0.01837292009572,0.00918646004785998,0.60717712703614,0.0289203556027642
"anchor_01","HOG:0020610","HJUB","leaf","T5",56.4998699010652,"leaf::T5",4,157,142,15,0.904458598726115,0.609748248875311,0.036698930029982,0.018349465014991,0.597155933582148,0.030839768387215
"anchor_01","HOG:0020610","HJUB","root","T1",7.47957433613505,"root::T1",4,157,142,15,0.904458598726115,-0.702512553788586,0.00979921324407602,0.00489960662203801,-0.655228617190413,0.0291057740214854
"anchor_01","HOG:0020610","HJUB","root","T2",14.5,"root::T2",4,157,142,15,0.904458598726115,-0.712443860204585,0.0207460196304101,0.010373009815205,-0.707284754632409,0.0516000414505151
"anchor_01","HOG:0020610","HJUB","root","T3",28.4898614550509,"root::T3",4,157,142,15,0.904458598726115,-0.695036144574663,0.0248131007333975,0.0124065503666988,-0.637659577577988,0.04138469801127
"anchor_01","HOG:0020610","HJUB","root","T4",42.7313175218636,"root::T4",4,157,142,15,0.904458598726115,-0.670877930244639,0.0183032717437942,0.00915163587189708,-0.639156337686819,0.0616234178721666
"anchor_01","HOG:0020610","HJUB","root","T5",56.4998699010652,"root::T5",4,157,142,15,0.904458598726115,-0.663411604801615,0.015536419784313,0.00776820989215652,-0.688198465700543,0.0884753601039611
"anchor_01","HOG:0020610","BMAX","leaf","T1",7.47957433613505,"leaf::T1",4,157,136,21,0.86624203821656,0.83274538050185,0.0589613868222404,0.0294806934111202,0.774320484622954,0.043184988601991
"anchor_01","HOG:0020610","BMAX","leaf","T2",14.5,"leaf::T2",4,157,136,21,0.86624203821656,0.95178490765528,0.0537951764067002,0.0268975882033501,0.921153087409721,0.047267437090946
"anchor_01","HOG:0020610","BMAX","leaf","T3",28.4898614550509,"leaf::T3",4,157,136,21,0.86624203821656,0.837740313254593,0.0431124282565594,0.0215562141282797,0.811207915530355,0.0342812335988132
"anchor_01","HOG:0020610","BMAX","leaf","T4",42.7313175218636,"leaf::T4",4,157,136,21,0.86624203821656,0.67127714302381,0.0940353806478318,0.0470176903239159,0.684860018561402,0.094925175385076
"anchor_01","HOG:0020610","BMAX","leaf","T5",56.4998699010652,"leaf::T5",4,157,136,21,0.86624203821656,0.631873844131269,0.140140808046689,0.0700704040233446,0.628332617586284,0.107752013429231
"anchor_01","HOG:0020610","BMAX","root","T1",7.47957433613505,"root::T1",4,157,136,21,0.86624203821656,-0.634040649174983,0.0362746916734144,0.0181373458367072,-0.626873048702692,0.0132710321884511
"anchor_01","HOG:0020610","BMAX","root","T2",14.5,"root::T2",4,157,136,21,0.86624203821656,-0.721141086702049,0.0248014204349672,0.0124007102174836,-0.652902754354505,0.04317601024418
"anchor_01","HOG:0020610","BMAX","root","T3",28.4898614550509,"root::T3",4,157,136,21,0.86624203821656,-0.656199064048302,0.0240047591762071,0.0120023795881036,-0.658096982292601,0.0327875543679883
"anchor_01","HOG:0020610","BMAX","root","T4",42.7313175218636,"root::T4",4,157,136,21,0.86624203821656,-0.641146250215667,0.0223963109113622,0.0111981554556811,-0.674490759476595,0
"anchor_01","HOG:0020610","BMAX","root","T5",56.4998699010652,"root::T5",4,157,136,21,0.86624203821656,-0.560827436861333,0.03417907725299,0.017089538626495,-0.547950527209724,0.0449897227998212
"anchor_01","HOG:0020610","BMED","leaf","T1",7.47957433613505,"leaf::T1",4,157,130,27,0.828025477707006,0.729865977493941,0.0372317546936022,0.0186158773468011,0.611108223057091,0.0463327939390142
"anchor_01","HOG:0020610","BMED","leaf","T2",14.5,"leaf::T2",4,157,130,27,0.828025477707006,0.797746960104223,0.0594039445270325,0.0297019722635162,0.71468419627697,0.0508314323629876
"anchor_01","HOG:0020610","BMED","leaf","T3",28.4898614550509,"leaf::T3",4,157,130,27,0.828025477707006,0.766990711466679,0.0184517210357475,0.00922586051787375,0.648259341694337,0.0562845594415345
"anchor_01","HOG:0020610","BMED","leaf","T4",42.7313175218636,"leaf::T4",4,157,130,27,0.828025477707006,0.798922293959045,0.0663264322593659,0.033163216129683,0.683932277526726,0.036917562094165
"anchor_01","HOG:0020610","BMED","leaf","T5",56.4998699010652,"leaf::T5",4,157,130,27,0.828025477707006,0.58941936328065,0.148099927137347,0.0740499635686736,0.5070141204436,0.0897191280499603
"anchor_01","HOG:0020610","BMED","root","T1",7.47957433613505,"root::T1",4,157,130,27,0.828025477707006,-0.617652625221377,0.0284455526830307,0.0142227763415154,-0.549412662562523,0.129176560207388
"anchor_01","HOG:0020610","BMED","root","T2",14.5,"root::T2",4,157,130,27,0.828025477707006,-0.604156907212045,0.0101685167252608,0.00508425836263039,-0.700032477188126,0.0473855889286946
"anchor_01","HOG:0020610","BMED","root","T3",28.4898614550509,"root::T3",4,157,130,27,0.828025477707006,-0.65431593420494,0.0234488063407874,0.0117244031703937,-0.693687116780036,0.0419038149300548
"anchor_01","HOG:0020610","BMED","root","T4",42.7313175218636,"root::T4",4,157,130,27,0.828025477707006,-0.646338264076861,0.0193378317198154,0.00966891585990768,-0.723034628988616,0.0200269650028799
"anchor_01","HOG:0020610","BMED","root","T5",56.4998699010652,"root::T5",4,157,130,27,0.828025477707006,-0.67166297954783,0.031767163390009,0.0158835816950045,-0.7137730800939,0.0360075275439619
"anchor_01","HOG:0020610","VBRO","leaf","T1",7.47957433613505,"leaf::T1",4,157,127,30,0.808917197452229,0.964351132520528,0.0337089871277474,0.0168544935638737,1.14788332369029,0.0142792279827648
"anchor_01","HOG:0020610","VBRO","leaf","T2",14.5,"leaf::T2",4,157,127,30,0.808917197452229,0.936600225820898,0.0401230915539709,0.0200615457769855,1.1166463462836,0.0594838570421193
"anchor_01","HOG:0020610","VBRO","leaf","T3",28.4898614550509,"leaf::T3",3,157,127,30,0.808917197452229,0.813867934025983,0.226566685841943,0.130808337060247,0.999744908567188,0.24842355803686
"anchor_01","HOG:0020610","VBRO","leaf","T4",42.7313175218636,"leaf::T4",4,157,127,30,0.808917197452229,0.685505936807108,0.215902444389938,0.107951222194969,0.820916832118273,0.206294718595864
"anchor_01","HOG:0020610","VBRO","leaf","T5",56.4998699010652,"leaf::T5",4,157,127,30,0.808917197452229,0.681910454334334,0.0453674311276771,0.0226837155638386,0.838148721316358,0.0144019774548057
"anchor_01","HOG:0020610","VBRO","root","T1",7.47957433613505,"root::T1",4,157,127,30,0.808917197452229,-0.650083560143108,0.0153584404837266,0.00767922024186332,-0.66071429779266,0.0275529233678715
"anchor_01","HOG:0020610","VBRO","root","T2",14.5,"root::T2",4,157,127,30,0.808917197452229,-0.63945453405964,0.0428522626674376,0.0214261313337188,-0.633531042125178,0.0314119718065477
"anchor_01","HOG:0020610","VBRO","root","T3",28.4898614550509,"root::T3",3,157,127,30,0.808917197452229,-0.590321793505854,0.0550592683217243,0.0317884833869313,-0.605170861510711,0.0622377163607233
