"anchor_hog","tissue","heterochrony_pattern","anchor_phase_difference","anchor_phase_direction","anchor_pair_agreement","anchor_bootstrap_support","anchor_effect_percentile","module_phase_difference","module_phase_direction","module_pair_agreement","module_bootstrap_support","module_effect_percentile","is_eligible_anchor","hotspot_direction","topology_supported","best_arabi_defline","best_rice_defline","regulator_direction","regulator_classes","regulator_arabi_defline","regulator_rice_defline","is_hotspot","is_recurrent_regulator","anchor_adjusted_phase_median_annual_minus_perennial","anchor_adjusted_phase_pair_agreement","anchor_adjusted_phase_direction","anchor_adjusted_phase_leave_one_pair_out_stable","anchor_adjusted_phase_absolute_effect_percentile","anchor_adjusted_phase_median_shape_correlation","module_adjusted_phase_median_annual_minus_perennial","module_adjusted_phase_pair_agreement","module_adjusted_phase_direction","module_adjusted_phase_leave_one_pair_out_stable","module_adjusted_phase_absolute_effect_percentile","module_adjusted_phase_median_shape_correlation","anchor_shape_median_annual_minus_perennial","anchor_shape_pair_agreement","anchor_shape_direction","anchor_shape_leave_one_pair_out_stable","anchor_shape_absolute_effect_percentile","anchor_shape_median_shape_correlation","module_shape_median_annual_minus_perennial","module_shape_pair_agreement","module_shape_direction","module_shape_leave_one_pair_out_stable","module_shape_absolute_effect_percentile","module_shape_median_shape_correlation","anchor_mean_median_annual_minus_perennial","anchor_mean_pair_agreement","anchor_mean_direction","anchor_mean_leave_one_pair_out_stable","anchor_mean_absolute_effect_percentile","anchor_mean_median_shape_correlation","module_mean_median_annual_minus_perennial","module_mean_pair_agreement","module_mean_direction","module_mean_leave_one_pair_out_stable","module_mean_absolute_effect_percentile","module_mean_median_shape_correlation","anchor_amplitude_median_annual_minus_perennial","anchor_amplitude_pair_agreement","anchor_amplitude_direction","anchor_amplitude_leave_one_pair_out_stable","anchor_amplitude_absolute_effect_percentile","anchor_amplitude_median_shape_correlation","module_amplitude_median_annual_minus_perennial","module_amplitude_pair_agreement","module_amplitude_direction","module_amplitude_leave_one_pair_out_stable","module_amplitude_absolute_effect_percentile","module_amplitude_median_shape_correlation","phase_lag_median_annual_minus_perennial","phase_lag_pair_agreement","phase_lag_direction","phase_lag_leave_one_pair_out_stable","phase_lag_absolute_effect_percentile","phase_lag_median_shape_correlation"
"HOG:0028661","leaf","no_recurrent_phase_shift",0.0817341311445669,"annual_later_or_higher",4,0.847695390781563,0.639296187683284,0.0721663162926381,"annual_later_or_higher",3,0.841683366733467,0.717261904761905,TRUE,"perennial",TRUE,"SRP72 RNA-binding domain","signal recognition particle 72 kDa protein, putative, expressed",,,,,TRUE,FALSE,0.113700764379105,4,"annual_later_or_higher",TRUE,0.747800586510264,,0.0784104656712115,3,"annual_later_or_higher",TRUE,0.741071428571429,,0.11,2,"annual_later_or_higher",FALSE,0.602639296187683,0.574389615652904,0.115,2,"annual_later_or_higher",FALSE,0.650297619047619,0.473220222266216,-0.0399146804129207,3,"annual_earlier_or_lower",TRUE,0.240469208211144,,-0.0596812158136736,4,"annual_earlier_or_lower",TRUE,0.479166666666667,,-0.132011297435665,3,"annual_earlier_or_lower",TRUE,0.598240469208211,,-0.140760829565266,3,"annual_earlier_or_lower",TRUE,0.75297619047619,,0.00429044895757089,3,"annual_later_or_higher",TRUE,0.0803571428571429,
"HOG:0025149","root","no_recurrent_phase_shift",0.0786039781198264,"annual_later_or_higher",4,0.903807615230461,0.583577712609971,0.109283889286609,"annual_later_or_higher",3,0.919839679358717,0.714285714285714,TRUE,"annual",TRUE,"chromatin remodeling 4","CHR4/MI-2-LIKE, putative, expressed","annual","any_regulator;gene_expression_regulator;chromatin_regulator","chromatin remodeling 4","CHR4/MI-2-LIKE, putative, expressed",TRUE,TRUE,0.064385364835117,3,"annual_later_or_higher",TRUE,0.442815249266862,,0.0189992365425188,4,"annual_later_or_higher",TRUE,0.157738095238095,,0.01,2,"annual_later_or_higher",FALSE,0.0747800586510264,0.494146954990409,0.01,2,"annual_later_or_higher",FALSE,0.126488095238095,0.413662384268167,0.31591394908132,2,"annual_later_or_higher",FALSE,0.947214076246334,,0.259399773017528,3,"annual_later_or_higher",TRUE,0.961309523809524,,-0.937727868915107,3,"annual_earlier_or_lower",TRUE,0.979472140762463,,-0.833638685758295,4,"annual_earlier_or_lower",TRUE,0.988095238095238,,-0.0493758849950879,3,"annual_earlier_or_lower",TRUE,0.535714285714286,
"HOG:0011541","root","no_recurrent_phase_shift",0.0786904431031362,"annual_later_or_higher",4,0.857715430861723,0.586510263929619,0.108607764036571,"annual_later_or_higher",4,0.927855711422846,0.708333333333333,TRUE,"annual",TRUE,"transcription regulatory protein SNF2, putative","SNF2 family N-terminal domain containing protein, expressed","annual","any_regulator;gene_expression_regulator;transcription_regulator;chromatin_regulator","transcription regulatory protein SNF2, putative","SNF2 family N-terminal domain containing protein, expressed",TRUE,TRUE,0.0719309844342832,3,"annual_later_or_higher",TRUE,0.504398826979472,,0.0572027912034073,2,"annual_later_or_higher",FALSE,0.386904761904762,,-0.01,2,"annual_earlier_or_lower",FALSE,0.0542521994134897,0.637804593705708,0.01,2,"annual_later_or_higher",FALSE,0.126488095238095,0.64394469558065,0.175704156033049,3,"annual_later_or_higher",TRUE,0.868035190615836,,0.0865346725685594,3,"annual_later_or_higher",TRUE,0.80952380952381,,-0.222385308039639,2,"annual_earlier_or_lower",FALSE,0.797653958944281,,-0.0840195106133089,3,"annual_earlier_or_lower",TRUE,0.589285714285714,,-0.0235122560182886,4,"annual_earlier_or_lower",TRUE,0.306547619047619,
"HOG:0032897","leaf","no_recurrent_phase_shift",0.0921929106184536,"annual_later_or_higher",3,0.895791583166333,0.686217008797654,,,,,,FALSE,,,,,"annual","any_regulator;gene_expression_regulator;transcription_regulator","SEUSS transcriptional co-regulator","transcriptional corepressor SEUSS, putative, expressed",FALSE,TRUE,0.0813437076227766,3,"annual_later_or_higher",TRUE,0.609970674486804,,,,,,,,0.25,3,"annual_later_or_higher",TRUE,0.975073313782991,-0.0704923750583046,,,,,,,-0.21256425510618,4,"annual_earlier_or_lower",TRUE,0.80058651026393,,,,,,,,0.0845253265392043,2,"annual_later_or_higher",FALSE,0.43108504398827,,,,,,,,,,,,,
"HOG:0031129","leaf","no_recurrent_phase_shift",-0.0803694453453965,"annual_earlier_or_lower",3,0.995991983967936,0.633431085043988,-0.0684300105963316,"annual_earlier_or_lower",3,0.955911823647295,0.68452380952381,TRUE,"annual",TRUE,"Thioredoxin family protein","glutathione S-transferase, N-terminal domain containing protein, expressed",,,,,TRUE,FALSE,-0.0839598263806162,4,"annual_earlier_or_lower",TRUE,0.627565982404692,,-0.0538877598377972,4,"annual_earlier_or_lower",TRUE,0.541666666666667,,-0.095,2,"annual_earlier_or_lower",FALSE,0.510263929618768,0.737895498508035,-0.1,3,"annual_earlier_or_lower",TRUE,0.595238095238095,0.772908652292171,-0.0351836711722719,2,"annual_earlier_or_lower",FALSE,0.214076246334311,,0.0488583566642173,4,"annual_later_or_higher",TRUE,0.416666666666667,,-0.0203700875588799,2,"annual_earlier_or_lower",FALSE,0.117302052785924,,0.117974724667907,3,"annual_later_or_higher",TRUE,0.645833333333333,,-0.0224778633064339,2,"annual_earlier_or_lower",FALSE,0.354166666666667,
"HOG:0006523","root","no_recurrent_phase_shift",0.0982620522692969,"annual_later_or_higher",3,0.887775551102204,0.683284457478006,0.0581230845400909,"annual_later_or_higher",3,0.849699398797595,0.366071428571429,TRUE,"perennial",TRUE,"","importin subunit alpha, putative, expressed",,,,,TRUE,FALSE,0.0218213472237323,3,"annual_later_or_higher",TRUE,0.152492668621701,,-0.0015627582191359,2,"annual_earlier_or_lower",FALSE,0.0148809523809524,,0.01,2,"annual_later_or_higher",FALSE,0.0747800586510264,0.238025628021927,-1.38777878078145e-17,2,"annual_earlier_or_lower",FALSE,0.0461309523809524,0.366505215513795,-0.0135835539677866,3,"annual_earlier_or_lower",TRUE,0.170087976539589,,-0.0712483059446243,4,"annual_earlier_or_lower",TRUE,0.755952380952381,,-0.157024058269851,2,"annual_earlier_or_lower",FALSE,0.683284457478006,,-0.166273825668655,4,"annual_earlier_or_lower",TRUE,0.75297619047619,,0.00702826250930591,2,"annual_later_or_higher",FALSE,0.107142857142857,
"HOG:0012511","leaf","no_recurrent_phase_shift",0.0800682577351914,"annual_later_or_higher",3,0.751503006012024,0.63049853372434,0.0675536938757806,"annual_later_or_higher",3,0.831663326653307,0.681547619047619,TRUE,"perennial",TRUE,"coatomer gamma-2 subunit, putative / gamma-2 coat protein, putative / gamma-2 COP, putative","coatomer subunit gamma-2, putative, expressed",,,,,TRUE,FALSE,0.0692190547395144,3,"annual_later_or_higher",TRUE,0.565982404692082,,0.0539741863417887,2,"annual_later_or_higher",FALSE,0.544642857142857,,0.065,2,"annual_later_or_higher",FALSE,0.407624633431085,0.0536206679806304,0.245,4,"annual_later_or_higher",TRUE,0.956845238095238,0.204724499459872,0.00719029295755352,2,"annual_later_or_higher",FALSE,0.0410557184750733,,0.00594830735809299,2,"annual_later_or_higher",FALSE,0.0714285714285714,,-0.201893333969317,4,"annual_earlier_or_lower",TRUE,0.75366568914956,,-0.186095015850296,3,"annual_earlier_or_lower",TRUE,0.875,,0.00283323789277912,2,"annual_later_or_higher",FALSE,0.0535714285714286,
"HOG:0023564","root","no_recurrent_phase_shift",-0.0567073286188975,"annual_earlier_or_lower",3,0.68937875751503,0.439882697947214,-0.102596506258085,"annual_earlier_or_lower",2,0.695390781563126,0.669642857142857,TRUE,"perennial",TRUE,"RAN binding protein 1","ranBP1 domain containing protein, expressed",,,,,TRUE,FALSE,-0.109831159063341,3,"annual_earlier_or_lower",TRUE,0.709677419354839,,-0.208952074208842,3,"annual_earlier_or_lower",TRUE,0.970238095238095,,-0.25,3,"annual_earlier_or_lower",TRUE,0.95307917888563,-0.369856286969992,-0.25,3,"annual_earlier_or_lower",TRUE,0.904761904761905,-0.41250782802251,-0.15565006819679,3,"annual_earlier_or_lower",TRUE,0.832844574780059,,-0.0560147963455057,4,"annual_earlier_or_lower",TRUE,0.678571428571429,,-0.024815156900864,2,"annual_earlier_or_lower",FALSE,0.202346041055718,,-0.0998289796280425,3,"annual_earlier_or_lower",TRUE,0.648809523809524,,0.0580614933710366,2,"annual_later_or_higher",FALSE,0.62202380952381,
"HOG:0016703","leaf","no_recurrent_phase_shift",-0.086264606332739,"annual_earlier_or_lower",3,0.821643286573146,0.668621700879765,,,,,,FALSE,,,,,"annual","any_regulator;gene_expression_regulator;chromatin_regulator","INO80 ortholog","SNF2 family N-terminal domain containing protein, expressed",FALSE,TRUE,-0.0371199235930611,3,"annual_earlier_or_lower",TRUE,0.348973607038123,,,,,,,,-0.215,3,"annual_earlier_or_lower",TRUE,0.906158357771261,0.00176908786655439,,,,,,,-1.0097997607249,4,"annual_earlier_or_lower",TRUE,1,,,,,,,,0.533568357648816,3,"annual_later_or_higher",TRUE,0.947214076246334,,,,,,,,,,,,,
"HOG:0031129","root","no_recurrent_phase_shift",-0.0826027944558216,"annual_earlier_or_lower",2,0.801603206412826,0.607038123167155,-0.102490134497208,"annual_earlier_or_lower",2,0.875751503006012,0.666666666666667,TRUE,"annual",TRUE,"Thioredoxin family protein","glutathione S-transferase, N-terminal domain containing protein, expressed",,,,,TRUE,FALSE,-0.126895346792015,2,"annual_earlier_or_lower",FALSE,0.780058651026393,,-0.179018348818787,3,"annual_earlier_or_lower",TRUE,0.886904761904762,,0.155,3,"annual_later_or_higher",TRUE,0.730205278592375,0.353472752710892,0.25,4,"annual_later_or_higher",TRUE,0.904761904761905,-0.0752115227475381,-0.0321953357726409,2,"annual_earlier_or_lower",FALSE,0.360703812316716,,0.0381832839866686,3,"annual_later_or_higher",TRUE,0.517857142857143,,-0.139553360320971,3,"annual_earlier_or_lower",TRUE,0.648093841642229,,0.041768860790487,2,"annual_later_or_higher",FALSE,0.288690476190476,,-0.0849507509247208,2,"annual_earlier_or_lower",FALSE,0.729166666666667,
