"anchor_id","anchor_hog","species1","species2","scope","comparison_type","n_matched_contexts","deployment_correlation","deployment_mean_abs_distance"
"anchor_01","HOG:0020610","HVUL","VBRO","leaf","tissue_specific",5,0.867377030692968,0.0815472043711505
"anchor_01","HOG:0020610","HVUL","VBRO","root","tissue_specific",5,-0.429023756237529,0.0529500729139845
"anchor_01","HOG:0020610","HVUL","VBRO","within_tissue_centered","combined_sensitivity",10,0.785698855934536,0.0692234054428937
"anchor_01","HOG:0020610","HVUL","FPRA","leaf","tissue_specific",5,0.967492601797125,0.0815500791301339
"anchor_01","HOG:0020610","HVUL","FPRA","root","tissue_specific",5,0.913937751997127,0.032139157588431
"anchor_01","HOG:0020610","HVUL","FPRA","within_tissue_centered","combined_sensitivity",10,0.956077289974498,0.0585557452771221
"anchor_01","HOG:0020610","HJUB","BMAX","leaf","tissue_specific",5,0.957979147881904,0.0853234552427902
"anchor_01","HOG:0020610","HJUB","BMAX","root","tissue_specific",5,0.819189524274578,0.0496644119213365
"anchor_01","HOG:0020610","HJUB","BMAX","within_tissue_centered","combined_sensitivity",10,0.933284969153306,0.0410985300599615
"anchor_01","HOG:0020610","HJUB","BMED","leaf","tissue_specific",5,0.524697242680583,0.0584585932740682
"anchor_01","HOG:0020610","HJUB","BMED","root","tissue_specific",5,-0.860926928118304,0.0533316265686931
"anchor_01","HOG:0020610","HJUB","BMED","within_tissue_centered","combined_sensitivity",10,0.415165540542216,0.0490321008049478
"anchor_01","HOG:0020610","HJUB","VBRO","leaf","tissue_specific",5,0.978368464765883,0.1166862742312
"anchor_01","HOG:0020610","HJUB","VBRO","root","tissue_specific",5,-0.139047274082444,0.055113459842293
"anchor_01","HOG:0020610","HJUB","VBRO","within_tissue_centered","combined_sensitivity",10,0.910566995914899,0.0379446392975614
"anchor_01","HOG:0020610","HJUB","FPRA","leaf","tissue_specific",5,0.82742732756207,0.0904959778233132
"anchor_01","HOG:0020610","HJUB","FPRA","root","tissue_specific",5,-0.053598232162435,0.0560269512740456
"anchor_01","HOG:0020610","HJUB","FPRA","within_tissue_centered","combined_sensitivity",10,0.789715281205493,0.0362783563122445
"anchor_01","HOG:0020610","BMAX","BMED","leaf","tissue_specific",5,0.588298029835111,0.0995533168265472
"anchor_01","HOG:0020610","BMAX","BMED","root","tissue_specific",5,-0.798124208685499,0.0502565779669326
"anchor_01","HOG:0020610","BMAX","BMED","within_tissue_centered","combined_sensitivity",10,0.418318890486803,0.061572455147484
"anchor_01","HOG:0020610","BMAX","VBRO","leaf","tissue_specific",5,0.887151141922517,0.0469856434136066
"anchor_01","HOG:0020610","BMAX","VBRO","root","tissue_specific",5,0.080411623941925,0.0518690210127543
"anchor_01","HOG:0020610","BMAX","VBRO","within_tissue_centered","combined_sensitivity",10,0.798912877067754,0.0504335061814806
"anchor_01","HOG:0020610","BMAX","FPRA","leaf","tissue_specific",5,0.74735884880671,0.064600477693404
"anchor_01","HOG:0020610","BMAX","FPRA","root","tissue_specific",5,0.375609089558098,0.0356616528367526
"anchor_01","HOG:0020610","BMAX","FPRA","within_tissue_centered","combined_sensitivity",10,0.699156217519374,0.0500388806984427
"anchor_01","HOG:0020610","BMED","VBRO","leaf","tissue_specific",5,0.384975464123739,0.125224618301637
"anchor_01","HOG:0020610","BMED","VBRO","root","tissue_specific",5,-0.36585301530916,0.0419896743469273
"anchor_01","HOG:0020610","BMED","VBRO","within_tissue_centered","combined_sensitivity",10,0.331701608564703,0.0665769895596685
"anchor_01","HOG:0020610","BMED","FPRA","leaf","tissue_specific",5,0.740045494706421,0.0624307041799172
"anchor_01","HOG:0020610","BMED","FPRA","root","tissue_specific",5,0.178572062422679,0.017292621426944
"anchor_01","HOG:0020610","BMED","FPRA","within_tissue_centered","combined_sensitivity",10,0.706483545585451,0.0336370608981102
"anchor_01","HOG:0020610","VBRO","FPRA","leaf","tissue_specific",5,0.811990781552449,0.0671299475229502
"anchor_01","HOG:0020610","VBRO","FPRA","root","tissue_specific",5,-0.094894381382282,0.0258486702677706
"anchor_01","HOG:0020610","VBRO","FPRA","within_tissue_centered","combined_sensitivity",10,0.78008263850087,0.0430648027474199
"anchor_02","HOG:0020076","BDIS","BSYL","leaf","tissue_specific",5,0.897767037436373,0.0863071849791711
"anchor_02","HOG:0020076","BDIS","BSYL","root","tissue_specific",5,-0.83067778681434,0.0460369018353965
"anchor_02","HOG:0020076","BDIS","BSYL","within_tissue_centered","combined_sensitivity",10,0.705269493146451,0.0656701814903265
"anchor_02","HOG:0020076","BDIS","HVUL","leaf","tissue_specific",5,0.966740390985849,0.135257056454134
"anchor_02","HOG:0020076","BDIS","HVUL","root","tissue_specific",5,0.234022533742041,0.0473919440401456
"anchor_02","HOG:0020076","BDIS","HVUL","within_tissue_centered","combined_sensitivity",10,0.910829351246102,0.0698467420823345
"anchor_02","HOG:0020076","BDIS","HJUB","leaf","tissue_specific",5,0.782353688267418,0.0431018424933063
"anchor_02","HOG:0020076","BDIS","HJUB","root","tissue_specific",5,0.230220039198804,0.0465988107626318
"anchor_02","HOG:0020076","BDIS","HJUB","within_tissue_centered","combined_sensitivity",10,0.695662987176923,0.0262148569268023
"anchor_02","HOG:0020076","BDIS","BMAX","leaf","tissue_specific",5,0.744028432870888,0.081416984585102
"anchor_02","HOG:0020076","BDIS","BMAX","root","tissue_specific",5,0.797783893855363,0.0368920004767837
"anchor_02","HOG:0020076","BDIS","BMAX","within_tissue_centered","combined_sensitivity",10,0.741466941309227,0.0541293869651306
"anchor_02","HOG:0020076","BDIS","BMED","leaf","tissue_specific",5,0.8172351250529,0.039314924564652
"anchor_02","HOG:0020076","BDIS","BMED","root","tissue_specific",5,-0.793577189133421,0.0328419214869172
"anchor_02","HOG:0020076","BDIS","BMED","within_tissue_centered","combined_sensitivity",10,0.679847856504264,0.031811108551423
"anchor_02","HOG:0020076","BDIS","VBRO","leaf","tissue_specific",5,0.794150341593616,0.105703129466194
"anchor_02","HOG:0020076","BDIS","VBRO","root","tissue_specific",5,0.472060947916648,0.0236318941324786
"anchor_02","HOG:0020076","BDIS","VBRO","within_tissue_centered","combined_sensitivity",10,0.771648942314516,0.0467328715270267
"anchor_02","HOG:0020076","BDIS","FPRA","leaf","tissue_specific",5,0.99131800656981,0.0756242389248753
"anchor_02","HOG:0020076","BDIS","FPRA","root","tissue_specific",5,0.494327626544354,0.0296732102074438
"anchor_02","HOG:0020076","BDIS","FPRA","within_tissue_centered","combined_sensitivity",10,0.963135929822179,0.0227349872124899
"anchor_02","HOG:0020076","BSYL","HVUL","leaf","tissue_specific",5,0.904895548318158,0.0749282144751685
"anchor_02","HOG:0020076","BSYL","HVUL","root","tissue_specific",5,-0.273151618769104,0.0695226275024652
"anchor_02","HOG:0020076","BSYL","HVUL","within_tissue_centered","combined_sensitivity",10,0.768375026090301,0.0667082166954323
"anchor_02","HOG:0020076","BSYL","HJUB","leaf","tissue_specific",5,0.97158829634253,0.088296021373493
"anchor_02","HOG:0020076","BSYL","HJUB","root","tissue_specific",5,-0.304339913412174,0.0600536746211427
"anchor_02","HOG:0020076","BSYL","HJUB","within_tissue_centered","combined_sensitivity",10,0.735106307630119,0.0583465152415149
"anchor_02","HOG:0020076","BSYL","BMAX","leaf","tissue_specific",5,0.920404870400238,0.0482194037425118
"anchor_02","HOG:0020076","BSYL","BMAX","root","tissue_specific",5,-0.630580712008198,0.0657720201244327
"anchor_02","HOG:0020076","BSYL","BMAX","within_tissue_centered","combined_sensitivity",10,0.666836121813019,0.0571526399662789
"anchor_02","HOG:0020076","BSYL","BMED","leaf","tissue_specific",5,0.594579949434566,0.0885665568846434
"anchor_02","HOG:0020076","BSYL","BMED","root","tissue_specific",5,0.637208961891393,0.050463978271143
"anchor_02","HOG:0020076","BSYL","BMED","within_tissue_centered","combined_sensitivity",10,0.597550012649256,0.0609458944954599
"anchor_02","HOG:0020076","BSYL","VBRO","leaf","tissue_specific",5,0.972932269051294,0.0625060602559587
"anchor_02","HOG:0020076","BSYL","VBRO","root","tissue_specific",5,-0.451981036034017,0.0685593192290948
"anchor_02","HOG:0020076","BSYL","VBRO","within_tissue_centered","combined_sensitivity",10,0.819281153685173,0.0447079493844352
"anchor_02","HOG:0020076","BSYL","FPRA","leaf","tissue_specific",5,0.909571346836532,0.0628946139826829
"anchor_02","HOG:0020076","BSYL","FPRA","root","tissue_specific",5,-0.365692355638439,0.0590435928440787
"anchor_02","HOG:0020076","BSYL","FPRA","within_tissue_centered","combined_sensitivity",10,0.801999979781187,0.0503904812239699
"anchor_02","HOG:0020076","HVUL","HJUB","leaf","tissue_specific",5,0.803089789716633,0.163224235848661
