"go_id","pval","padj_within_ranking","log2err","ES","NES","size","leadingEdge","main_pathway","TERM","ONTOLOGY","ranking","direction","n_directional_pairs","pair_consistency","pair_median_effects","padj_global"
"GO:0005737",5.22680442387949e-06,0.00051222683354019,0.610526878385931,-0.696960622489209,-2.1646585298828,31,"HOG:0026451;HOG:0010703;HOG:0026340;HOG:0008696;HOG:0025124;HOG:0016371;HOG:0021943;HOG:0032629;HOG:0012012;HOG:0012511;HOG:0006523;HOG:0008697;HOG:0028636;HOG:0005666;HOG:0027704;HOG:0006139;HOG:0026073;HOG:0026361;HOG:0016636;HOG:0028661;HOG:0012011",TRUE,"cytoplasm","CC","leaf_early_to_late","perennial",3,0.75,"Brachypodium=-0.2022;Hordeum=0.5266;Briza=-0.1633;Festuca/Vulpia=-0.1477",0.00358558783478133
"GO:0003677",1.96549109315897e-05,0.00192618127129579,0.575610261071129,-0.876451107933931,-1.79090285370482,13,"HOG:0010481;HOG:0026742;HOG:0032903;HOG:0010482;HOG:0025149;HOG:0032904;HOG:0025848;HOG:0027918;HOG:0011541",TRUE,"DNA binding","MF","leaf_mean_activity","perennial",4,1,"Brachypodium=-0.76;Hordeum=-0.003775;Briza=-0.4539;Festuca/Vulpia=-0.09719",0.00674163444953528
"GO:0005198",3.62972567817771e-05,0.00323514598498051,0.557332238758646,-0.829346654980133,-2.21668945471061,11,"HOG:0000122;HOG:0021123;HOG:0024337;HOG:0023227;HOG:0007833",TRUE,"structural molecule activity","MF","root_mean_activity","perennial",3,0.75,"Brachypodium=-0.07531;Hordeum=-0.1101;Briza=-0.06175;Festuca/Vulpia=0.07811",0.00822160513137421
"GO:0006412",0.000132046774897164,0.00323514598498051,0.518848077743792,-0.689445261854899,-2.15805331880255,19,"HOG:0000122;HOG:0021123;HOG:0033476;HOG:0024337;HOG:0023227;HOG:0007833;HOG:0000096;HOG:0006208;HOG:0026397",TRUE,"translation","BP","root_mean_activity","perennial",3,0.75,"Brachypodium=-0.02795;Hordeum=-0.1119;Briza=-0.05876;Festuca/Vulpia=0.04895",0.0100648986199394
"GO:0005515",0.000205937640922899,0.00504547220261103,0.518848077743792,-0.631972315620091,-1.52343139561266,69,"HOG:0023048;HOG:0023138;HOG:0025149;HOG:0006131;HOG:0010551;HOG:0005857;HOG:0008732;HOG:0006332;HOG:0027421;HOG:0026019;HOG:0003621;HOG:0028145;HOG:0027918;HOG:0032765;HOG:0032849;HOG:0011541;HOG:0026838;HOG:0010549;HOG:0025923;HOG:0011775;HOG:0011715;HOG:0033004;HOG:0027351;HOG:0029540;HOG:0026507;HOG:0017160;HOG:0027639;HOG:0016116;HOG:0028440;HOG:0024976",TRUE,"protein binding","MF","leaf_mean_activity","perennial",4,1,"Brachypodium=-0.2897;Hordeum=-0.02479;Briza=-0.06676;Festuca/Vulpia=-0.03351",0.0117727684727591
"GO:0043228",0.000400913665267985,0.00654825653271043,0.49849310876659,-0.806443786878809,-2.0602232369701,10,"HOG:0000122;HOG:0021123;HOG:0024337;HOG:0023227;HOG:0007833;HOG:0027639",TRUE,"membraneless organelle","CC","root_mean_activity","perennial",3,0.75,"Brachypodium=-0.2123;Hordeum=-0.1183;Briza=-0.06738;Festuca/Vulpia=0.07342",0.0178561615121817
"GO:0008270",0.00196230385818023,0.0212550321503241,0.431707695803346,-0.795116037420175,-1.62470623580934,13,"HOG:0025959;HOG:0025149;HOG:0028333;HOG:0006332;HOG:0028145;HOG:0021825;HOG:0027918;HOG:0032765",TRUE,"zinc ion binding","MF","leaf_mean_activity","perennial",3,0.75,"Brachypodium=-0.5958;Hordeum=0.01596;Briza=-0.4232;Festuca/Vulpia=-0.04703",0.0448713482237212
"GO:0006810",0.00427308043026974,0.0261726176354022,0.407017918923954,-0.560417185047538,-1.71030358076999,29,"HOG:0025124;HOG:0016371;HOG:0012012;HOG:0012511;HOG:0006523;HOG:0028636;HOG:0008637;HOG:0005666;HOG:0027704;HOG:0028850;HOG:0016200;HOG:0012011;HOG:0028065;HOG:0023564;HOG:0026838;HOG:0011064;HOG:0027005;HOG:0023825",TRUE,"transport","BP","leaf_early_to_late","perennial",3,0.75,"Brachypodium=-0.2121;Hordeum=0.4978;Briza=-0.2381;Festuca/Vulpia=-0.02092",0.0586266635033009
"GO:0012505",0.00517867488587507,0.0390392414473659,0.407017918923954,-0.6934321977805,-1.85341537359146,11,"HOG:0011717;HOG:0026073;HOG:0012012;HOG:0028850;HOG:0012011;HOG:0027704;HOG:0032629;HOG:0008696;HOG:0008697",TRUE,"endomembrane system","CC","root_mean_activity","perennial",3,0.75,"Brachypodium=-0.1323;Hordeum=-0.03753;Briza=-0.006009;Festuca/Vulpia=0.008163",0.0683186725328903
