"go_id","pval","padj_within_ranking","log2err","ES","NES","size","leadingEdge","main_pathway","TERM","ONTOLOGY","ranking","direction","n_directional_pairs","pair_consistency","pair_median_effects","padj_global"
"GO:0043228",0.421739130434783,0.879370952821462,0.0931454575337804,0.413101024909053,1.05123793709437,10,"HOG:0027706;HOG:0027639",FALSE,"membraneless organelle","CC","recurrent_coverage","annual",2,0.5,"Brachypodium=0.1575;Hordeum=0.02176;Briza=-0.06383;Festuca/Vulpia=-0.1706",0.844134536505332
"GO:0043232",0.421739130434783,0.879370952821462,0.0931454575337804,0.413101024909053,1.05123793709437,10,"HOG:0027706;HOG:0027639",FALSE,"intracellular membraneless organelle","CC","recurrent_coverage","annual",2,0.5,"Brachypodium=0.1575;Hordeum=0.02176;Briza=-0.06383;Festuca/Vulpia=-0.1706",0.844134536505332
"GO:0098796",0.420618556701031,0.883049488135114,0.0902635484340068,0.372097256265125,1.02541770185115,12,"HOG:0028636;HOG:0012011;HOG:0028850;HOG:0027704;HOG:0025124",FALSE,"membrane protein complex","CC","anchor_module_mean_strength_ratio","annual",2,0.5,"Brachypodium=0.2251;Hordeum=0.04543;Briza=-0.07881;Festuca/Vulpia=-0.05444",0.844134536505332
"GO:0035639",0.42350332594235,0.883049488135114,0.0940503465727813,0.269970923710868,1.02048272696723,41,"HOG:0008733;HOG:0011775;HOG:0027706;HOG:0017189;HOG:0027639;HOG:0032961;HOG:0025149;HOG:0007636;HOG:0025848;HOG:0023048;HOG:0007638;HOG:0011541",FALSE,"purine ribonucleoside triphosphate binding","MF","anchor_module_mean_strength_ratio","annual",1,0.25,"Brachypodium=0.2155;Hordeum=-0.09104;Briza=-0.07845;Festuca/Vulpia=-0.1143",0.844134536505332
"GO:0006810",0.647058823529412,0.883449456056717,0.138022242496643,-0.258530904673301,-0.891355097622513,29,"HOG:0025124;HOG:0008637;HOG:0006523;HOG:0012012;HOG:0028850;HOG:0023564;HOG:0012011;HOG:0028263;HOG:0028636;HOG:0027704;HOG:0011064;HOG:0027005;HOG:0027975;HOG:0007645;HOG:0012261",FALSE,"transport","BP","root_mean_activity","perennial",4,1,"Brachypodium=-0.0373;Hordeum=-0.01375;Briza=-0.0003463;Festuca/Vulpia=-0.01841",0.988600931952623
"GO:0017076",0.649064906490649,0.883449456056717,0.0380842053196415,0.339907675561614,0.889647904064929,46,"HOG:0023048;HOG:0025149;HOG:0025848;HOG:0011775;HOG:0011541",FALSE,"purine nucleotide binding","MF","root_mean_activity","annual",2,0.5,"Brachypodium=0.03581;Hordeum=0.05645;Briza=-0.005378;Festuca/Vulpia=-0.01426",0.988600931952623
"GO:0006412",0.866666666666667,0.884722222222222,0.048701086452153,0.270944084053841,0.714843611266849,19,"HOG:0019536;HOG:0024277",FALSE,"translation","BP","leaf_early_to_late","annual",2,0.5,"Brachypodium=-0.02719;Hordeum=0.5812;Briza=0.02752;Festuca/Vulpia=-0.1856",0.99474518780812
"GO:0160307",0.866666666666667,0.884722222222222,0.048701086452153,0.270944084053841,0.714843611266849,19,"HOG:0019536;HOG:0024277",FALSE,"protein biosynthetic process","BP","leaf_early_to_late","annual",2,0.5,"Brachypodium=-0.02719;Hordeum=0.5812;Briza=0.02752;Festuca/Vulpia=-0.1856",0.99474518780812
"GO:0017111",0.697674418604651,0.886439120910183,0.0886261133285098,-0.31663460506742,-0.85443022634346,12,"HOG:0033476",FALSE,"ribonucleoside triphosphate phosphatase activity","MF","root_mean_activity","perennial",1,0.25,"Brachypodium=0.03009;Hordeum=0.01674;Briza=0.001988;Festuca/Vulpia=-0.01697",0.993089981736005
"GO:1901363",0.70479302832244,0.886439120910183,0.0337507376805299,0.325498075847586,0.860912299692492,53,"HOG:0023048;HOG:0025149;HOG:0025848;HOG:0011775;HOG:0011541;HOG:0011497;HOG:0006139",FALSE,"heterocyclic compound binding","MF","root_mean_activity","annual",2,0.5,"Brachypodium=0.03005;Hordeum=0.05651;Briza=-0.00734;Festuca/Vulpia=-0.01803",0.99474518780812
"GO:0000166",0.73551912568306,0.886439120910183,0.0318534652552707,0.317459424602996,0.835890578957181,51,"HOG:0023048;HOG:0025149;HOG:0025848;HOG:0011775;HOG:0011541",FALSE,"nucleotide binding","MF","root_mean_activity","annual",2,0.5,"Brachypodium=0.03005;Hordeum=0.05651;Briza=-0.00734;Festuca/Vulpia=-0.01803",0.99474518780812
"GO:1901265",0.73551912568306,0.886439120910183,0.0318534652552707,0.317459424602996,0.835890578957181,51,"HOG:0023048;HOG:0025149;HOG:0025848;HOG:0011775;HOG:0011541",FALSE,"nucleoside phosphate binding","MF","root_mean_activity","annual",2,0.5,"Brachypodium=0.03005;Hordeum=0.05651;Briza=-0.00734;Festuca/Vulpia=-0.01803",0.99474518780812
"GO:0005622",0.736842105263158,0.886439120910183,0.030918431706181,0.310026236015957,0.834428693811297,62,"HOG:0032903;HOG:0011540;HOG:0025959;HOG:0032904;HOG:0018459;HOG:0031227;HOG:0007857;HOG:0027918;HOG:0011541",FALSE,"intracellular anatomical structure","CC","root_mean_activity","annual",0,0,"Brachypodium=-0.02611;Hordeum=-0.03376;Briza=-0.02092;Festuca/Vulpia=-0.01442",0.99474518780812
"GO:0006753",0.746794871794872,0.886439120910183,0.0828962134571565,-0.292307692307692,-0.781284129113388,11,"HOG:0011628;HOG:0012102;HOG:0023230;HOG:0006123;HOG:0023669;HOG:0020076;HOG:0028766;HOG:0029110;HOG:0007697;HOG:0006505;HOG:0030062",FALSE,"nucleoside phosphate metabolic process","BP","root_mean_activity","perennial",1,0.25,"Brachypodium=0.02131;Hordeum=0.04982;Briza=-0.0003431;Festuca/Vulpia=0.01141",0.99474518780812
"GO:0055086",0.746794871794872,0.886439120910183,0.0828962134571565,-0.292307692307692,-0.781284129113388,11,"HOG:0011628;HOG:0012102;HOG:0023230;HOG:0006123;HOG:0023669;HOG:0020076;HOG:0028766;HOG:0029110;HOG:0007697;HOG:0006505;HOG:0030062",FALSE,"nucleobase-containing small molecule metabolic process","BP","root_mean_activity","perennial",1,0.25,"Brachypodium=0.02131;Hordeum=0.04982;Briza=-0.0003431;Festuca/Vulpia=0.01141",0.99474518780812
"GO:0072521",0.746794871794872,0.886439120910183,0.0828962134571565,-0.292307692307692,-0.781284129113388,11,"HOG:0011628;HOG:0012102;HOG:0023230;HOG:0006123;HOG:0023669;HOG:0020076;HOG:0028766;HOG:0029110;HOG:0007697;HOG:0006505;HOG:0030062",FALSE,"purine-containing compound metabolic process","BP","root_mean_activity","perennial",1,0.25,"Brachypodium=0.02131;Hordeum=0.04982;Briza=-0.0003431;Festuca/Vulpia=0.01141",0.99474518780812
"GO:0016192",0.750877192982456,0.886439120910183,0.0875697115548511,-0.29584545866895,-0.818487557195283,13,"HOG:0025124;HOG:0012012;HOG:0028850;HOG:0012011;HOG:0028636;HOG:0027704;HOG:0027005",FALSE,"vesicle-mediated transport","BP","root_mean_activity","perennial",2,0.5,"Brachypodium=-0.06668;Hordeum=-0.03453;Briza=0.00002008;Festuca/Vulpia=0.0101",0.99474518780812
