"stage","seconds"
"load_data",0.046
"reduce_orthogroups",0.74
"compute_networks",0.962
"prepare_orthologs",2.517
"analytical_coexpressologs",1.58
"find_cliques",1.035
"construct_recurrent_modules",4.784
"topology_profiles",2.029
"robust_expression_scaling",0.629
"deployment_profiles",1.668
"background_expression_diagnostic",2.187
"life_history_descriptive_analysis",0.441
"total",23.127
