"anchor_id","anchor_hog","species","tissue","n_time_points","mean_activity","early_to_late","early_day","late_day"
"anchor_01","HOG:0020610","BDIS","leaf",5,0.72854952442182,-0.156403181994594,7.47957433613505,56.4998699010652
"anchor_01","HOG:0020610","BDIS","root",5,-0.653417271457515,0.016562160831061,7.47957433613505,56.4998699010652
"anchor_01","HOG:0020610","BMAX","leaf",5,0.78508431771336,-0.200871536370581,7.47957433613505,56.4998699010652
"anchor_01","HOG:0020610","BMAX","root",5,-0.642670897400467,0.0732132123136506,7.47957433613505,56.4998699010652
"anchor_01","HOG:0020610","BMED","leaf",5,0.736589061260908,-0.140446614213292,7.47957433613505,56.4998699010652
"anchor_01","HOG:0020610","BMED","root",5,-0.63882534205261,-0.0540103543264528,7.47957433613505,56.4998699010652
"anchor_01","HOG:0020610","BSYL","leaf",5,0.764548396426448,-0.33471631731968,7.47957433613505,56.4998699010652
"anchor_01","HOG:0020610","BSYL","root",5,-0.676604230445755,-0.105156843263293,7.47957433613505,56.4998699010652
"anchor_01","HOG:0020610","FPRA","leaf",5,0.790256840293883,-0.28391896554783,7.47957433613505,56.4998699010652
"anchor_01","HOG:0020610","FPRA","root",5,-0.632829467448772,-0.000847109745324759,7.47957433613505,56.4998699010652
"anchor_01","HOG:0020610","HJUB","leaf",5,0.69976086247057,-0.153864829233296,7.47957433613505,56.4998699010652
"anchor_01","HOG:0020610","HJUB","root",5,-0.688856418722818,0.0391009489869716,7.47957433613505,56.4998699010652
"anchor_01","HOG:0020610","HVUL","leaf",5,0.829058693378147,-0.570056470518816,7.47957433613505,56.4998699010652
"anchor_01","HOG:0020610","HVUL","root",5,-0.637893092914906,0.0126469293302045,7.47957433613505,56.4998699010652
"anchor_01","HOG:0020610","VBRO","leaf",5,0.81644713670177,-0.282440678186193,7.47957433613505,56.4998699010652
"anchor_01","HOG:0020610","VBRO","root",5,-0.635514389139278,0.0276780080468408,7.47957433613505,56.4998699010652
"anchor_02","HOG:0020076","BDIS","leaf",5,0.723221914673157,-0.130538154175032,7.47957433613505,56.4998699010652
"anchor_02","HOG:0020076","BDIS","root",5,-0.659749262142226,0.0187914575418342,7.47957433613505,56.4998699010652
"anchor_02","HOG:0020076","BMAX","leaf",5,0.774184869494429,-0.195042270091153,7.47957433613505,56.4998699010652
"anchor_02","HOG:0020076","BMAX","root",5,-0.644956448424227,0.0826632915369705,7.47957433613505,56.4998699010652
"anchor_02","HOG:0020076","BMED","leaf",5,0.733420701561174,-0.137485196961627,7.47957433613505,56.4998699010652
"anchor_02","HOG:0020076","BMED","root",5,-0.63960529783106,-0.040019502142839,7.47957433613505,56.4998699010652
"anchor_02","HOG:0020076","BSYL","leaf",5,0.755159101534436,-0.318941194151179,7.47957433613505,56.4998699010652
"anchor_02","HOG:0020076","BSYL","root",5,-0.689119644778861,-0.143444807181153,7.47957433613505,56.4998699010652
"anchor_02","HOG:0020076","FPRA","leaf",5,0.798846153598033,-0.241737952923855,7.47957433613505,56.4998699010652
"anchor_02","HOG:0020076","FPRA","root",5,-0.630076051934782,-0.000499887768968366,7.47957433613505,56.4998699010652
"anchor_02","HOG:0020076","HJUB","leaf",5,0.686401365566599,-0.116984408802908,7.47957433613505,56.4998699010652
"anchor_02","HOG:0020076","HJUB","root",5,-0.701893229306158,0.0511963520994322,7.47957433613505,56.4998699010652
"anchor_02","HOG:0020076","HVUL","leaf",5,0.817337940745185,-0.527286192966837,7.47957433613505,56.4998699010652
"anchor_02","HOG:0020076","HVUL","root",5,-0.642145868810672,0.00738820439624899,7.47957433613505,56.4998699010652
"anchor_02","HOG:0020076","VBRO","leaf",5,0.817665161790395,-0.262124844433963,7.47957433613505,56.4998699010652
"anchor_02","HOG:0020076","VBRO","root",5,-0.637461343747252,0.0264201621995998,7.47957433613505,56.4998699010652
"anchor_03","HOG:0011532","BDIS","leaf",5,0.723908034562405,-0.142220475966955,7.47957433613505,56.4998699010652
"anchor_03","HOG:0011532","BDIS","root",5,-0.653619304137987,0.0272929652836239,7.47957433613505,56.4998699010652
"anchor_03","HOG:0011532","BMAX","leaf",5,0.74913559842413,-0.141907513379213,7.47957433613505,56.4998699010652
"anchor_03","HOG:0011532","BMAX","root",5,-0.650342181960781,0.123642706003519,7.47957433613505,56.4998699010652
"anchor_03","HOG:0011532","BMED","leaf",5,0.735051491404937,-0.118967725759348,7.47957433613505,56.4998699010652
"anchor_03","HOG:0011532","BMED","root",5,-0.638242616736491,0.00269288870370299,7.47957433613505,56.4998699010652
"anchor_03","HOG:0011532","BSYL","leaf",5,0.728047443668547,-0.267251878463145,7.47957433613505,56.4998699010652
"anchor_03","HOG:0011532","BSYL","root",5,-0.717692793719818,-0.10977061622069,7.47957433613505,56.4998699010652
"anchor_03","HOG:0011532","FPRA","leaf",5,0.782865563292016,-0.254047508191762,7.47957433613505,56.4998699010652
"anchor_03","HOG:0011532","FPRA","root",5,-0.642838160393763,0.00404846475300868,7.47957433613505,56.4998699010652
"anchor_03","HOG:0011532","HJUB","leaf",5,0.683132404220915,-0.0852006484384077,7.47957433613505,56.4998699010652
"anchor_03","HOG:0011532","HJUB","root",5,-0.704626650159064,0.0575216231897222,7.47957433613505,56.4998699010652
"anchor_03","HOG:0011532","HVUL","leaf",5,0.801651491034229,-0.465737469260149,7.47957433613505,56.4998699010652
"anchor_03","HOG:0011532","HVUL","root",5,-0.651533698882924,0.0097898426345101,7.47957433613505,56.4998699010652
"anchor_03","HOG:0011532","VBRO","leaf",5,0.745366823412427,-0.238196971413765,7.47957433613505,56.4998699010652
"anchor_03","HOG:0011532","VBRO","root",5,-0.67218914918423,0.0747961644720233,7.47957433613505,56.4998699010652
"anchor_04","HOG:0019394","BDIS","leaf",5,0.72221738820285,-0.14019595473755,7.47957433613505,56.4998699010652
"anchor_04","HOG:0019394","BDIS","root",5,-0.663396870506352,0.0251829836453548,7.47957433613505,56.4998699010652
"anchor_04","HOG:0019394","BMAX","leaf",5,0.764402224267241,-0.17849774046492,7.47957433613505,56.4998699010652
"anchor_04","HOG:0019394","BMAX","root",5,-0.651765795151826,0.0826477215631423,7.47957433613505,56.4998699010652
"anchor_04","HOG:0019394","BMED","leaf",5,0.740203786244779,-0.127538008778476,7.47957433613505,56.4998699010652
"anchor_04","HOG:0019394","BMED","root",5,-0.633121193739168,-0.0128622423190224,7.47957433613505,56.4998699010652
"anchor_04","HOG:0019394","BSYL","leaf",5,0.733348861193903,-0.28180940162927,7.47957433613505,56.4998699010652
"anchor_04","HOG:0019394","BSYL","root",5,-0.698023284186842,-0.0636552647496728,7.47957433613505,56.4998699010652
"anchor_04","HOG:0019394","FPRA","leaf",5,0.778801777235952,-0.263388603986981,7.47957433613505,56.4998699010652
"anchor_04","HOG:0019394","FPRA","root",5,-0.642277133986654,0.00533114600228624,7.47957433613505,56.4998699010652
"anchor_04","HOG:0019394","HJUB","leaf",5,0.680098114693118,-0.105615807820891,7.47957433613505,56.4998699010652
"anchor_04","HOG:0019394","HJUB","root",5,-0.707098790474082,0.0659105610337037,7.47957433613505,56.4998699010652
"anchor_04","HOG:0019394","HVUL","leaf",5,0.83499926906485,-0.556418963411289,7.47957433613505,56.4998699010652
"anchor_04","HOG:0019394","HVUL","root",5,-0.63755534905338,0.00470159642608492,7.47957433613505,56.4998699010652
"anchor_04","HOG:0019394","VBRO","leaf",5,0.842443982574413,-0.262163642367235,7.47957433613505,56.4998699010652
"anchor_04","HOG:0019394","VBRO","root",5,-0.612360429274557,0.00620462416989542,7.47957433613505,56.4998699010652
"anchor_05","HOG:0006205","BDIS","leaf",5,0.708204902220094,-0.124072848145016,7.47957433613505,56.4998699010652
"anchor_05","HOG:0006205","BDIS","root",5,-0.665885836588609,0.0367546799392006,7.47957433613505,56.4998699010652
"anchor_05","HOG:0006205","BMAX","leaf",5,0.768655533525474,-0.181580479024606,7.47957433613505,56.4998699010652
"anchor_05","HOG:0006205","BMAX","root",5,-0.647414999372054,0.0751307783335032,7.47957433613505,56.4998699010652
"anchor_05","HOG:0006205","BMED","leaf",5,0.738589568461147,-0.147052424576861,7.47957433613505,56.4998699010652
"anchor_05","HOG:0006205","BMED","root",5,-0.637434627141887,-0.0430455139672637,7.47957433613505,56.4998699010652
"anchor_05","HOG:0006205","BSYL","leaf",5,0.734611132449821,-0.287379825699122,7.47957433613505,56.4998699010652
"anchor_05","HOG:0006205","BSYL","root",5,-0.729664035327865,-0.139703682154576,7.47957433613505,56.4998699010652
