"anchor_id","anchor_hog","tissue","feature","interpretation","median_annual_minus_perennial","n_annual_higher","n_perennial_higher","n_equal","majority_direction","n_agreeing_with_majority","pair_consistency","absolute_median_contrast","discovery_rank"
"anchor_241","HOG:0026507","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.138783926304167,0,4,0,"perennial_higher",4,1,0.138783926304167,41
"anchor_164","HOG:0027054","root","mean_activity","equal-time-point mean module activity within tissue",-0.138259085778619,0,4,0,"perennial_higher",4,1,0.138259085778619,42
"anchor_294","HOG:0026361","leaf","early_to_late","last minus first matched time-point module activity",-0.135030284242794,0,4,0,"perennial_higher",4,1,0.135030284242794,43
"anchor_235","HOG:0017160","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.131401308420547,0,4,0,"perennial_higher",4,1,0.131401308420547,44
"anchor_303","HOG:0027639","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.129228748945543,0,4,0,"perennial_higher",4,1,0.129228748945543,45
"anchor_164","HOG:0027054","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.126057157205784,0,4,0,"perennial_higher",4,1,0.126057157205784,46
"anchor_135","HOG:0004114","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.125186328262521,0,4,0,"perennial_higher",4,1,0.125186328262521,47
"anchor_266","HOG:0028440","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.122373869925457,0,4,0,"perennial_higher",4,1,0.122373869925457,48
"anchor_220","HOG:0011715","root","mean_activity","equal-time-point mean module activity within tissue",-0.119178032885018,0,4,0,"perennial_higher",4,1,0.119178032885018,49
"anchor_279","HOG:0033476","root","mean_activity","equal-time-point mean module activity within tissue",-0.118766164237558,0,4,0,"perennial_higher",4,1,0.118766164237558,50
"anchor_173","HOG:0011717","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.114839054878197,0,4,0,"perennial_higher",4,1,0.114839054878197,51
"anchor_302","HOG:0011628","leaf","early_to_late","last minus first matched time-point module activity",-0.109657797255298,0,4,0,"perennial_higher",4,1,0.109657797255298,52
"anchor_308","HOG:0014354","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.109288817388558,0,4,0,"perennial_higher",4,1,0.109288817388558,53
"anchor_277","HOG:0007857","root","mean_activity","equal-time-point mean module activity within tissue",0.107096141944815,4,0,0,"annual_higher",4,1,0.107096141944815,54
"anchor_286","HOG:0028717","root","early_to_late","last minus first matched time-point module activity",0.0982092983885792,4,0,0,"annual_higher",4,1,0.0982092983885792,55
"anchor_173","HOG:0011717","root","mean_activity","equal-time-point mean module activity within tissue",-0.0981679886125865,0,4,0,"perennial_higher",4,1,0.0981679886125865,56
"anchor_295","HOG:0031418","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.0957065466951529,0,4,0,"perennial_higher",4,1,0.0957065466951529,57
"anchor_107","HOG:0020293","root","mean_activity","equal-time-point mean module activity within tissue",-0.0934327823496654,0,4,0,"perennial_higher",4,1,0.0934327823496654,58
"anchor_133","HOG:0020711","leaf","mean_activity","equal-time-point mean module activity within tissue",0.0881683617184752,4,0,0,"annual_higher",4,1,0.0881683617184752,59
"anchor_136","HOG:0012101","root","mean_activity","equal-time-point mean module activity within tissue",0.0878338216479002,4,0,0,"annual_higher",4,1,0.0878338216479002,60
"anchor_232","HOG:0019459","leaf","mean_activity","equal-time-point mean module activity within tissue",0.0873753393618953,4,0,0,"annual_higher",4,1,0.0873753393618953,61
"anchor_190","HOG:0032397","leaf","early_to_late","last minus first matched time-point module activity",-0.0855324061919693,0,4,0,"perennial_higher",4,1,0.0855324061919693,62
"anchor_324","HOG:0023427","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.0836707091680328,0,4,0,"perennial_higher",4,1,0.0836707091680328,63
"anchor_266","HOG:0028440","root","mean_activity","equal-time-point mean module activity within tissue",-0.0826099881852703,0,4,0,"perennial_higher",4,1,0.0826099881852703,64
"anchor_241","HOG:0026507","root","mean_activity","equal-time-point mean module activity within tissue",-0.0815990498187976,0,4,0,"perennial_higher",4,1,0.0815990498187976,65
"anchor_283","HOG:0026360","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.0802604861441281,0,4,0,"perennial_higher",4,1,0.0802604861441281,66
"anchor_260","HOG:0012011","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.0799609522260439,0,4,0,"perennial_higher",4,1,0.0799609522260439,67
"anchor_114","HOG:0027098","root","early_to_late","last minus first matched time-point module activity",0.0794583032822234,4,0,0,"annual_higher",4,1,0.0794583032822234,68
"anchor_158","HOG:0006208","root","mean_activity","equal-time-point mean module activity within tissue",-0.0791914257743181,0,4,0,"perennial_higher",4,1,0.0791914257743181,69
"anchor_217","HOG:0025124","root","mean_activity","equal-time-point mean module activity within tissue",-0.0761633284125773,0,4,0,"perennial_higher",4,1,0.0761633284125773,70
"anchor_253","HOG:0006149","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.0733096022365574,0,4,0,"perennial_higher",4,1,0.0733096022365574,71
"anchor_253","HOG:0006149","root","mean_activity","equal-time-point mean module activity within tissue",-0.0713600946323141,0,4,0,"perennial_higher",4,1,0.0713600946323141,72
"anchor_196","HOG:0006523","root","mean_activity","equal-time-point mean module activity within tissue",-0.0712483059446244,0,4,0,"perennial_higher",4,1,0.0712483059446244,73
"anchor_213","HOG:0026073","root","mean_activity","equal-time-point mean module activity within tissue",-0.0683168962217417,0,4,0,"perennial_higher",4,1,0.0683168962217417,74
"anchor_227","HOG:0032920","root","mean_activity","equal-time-point mean module activity within tissue",0.0665908520987541,4,0,0,"annual_higher",4,1,0.0665908520987541,75
"anchor_119","HOG:0006139","root","mean_activity","equal-time-point mean module activity within tissue",0.0650092502101301,4,0,0,"annual_higher",4,1,0.0650092502101301,76
"anchor_163","HOG:0008717","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.064951889553433,0,4,0,"perennial_higher",4,1,0.064951889553433,77
"anchor_303","HOG:0027639","root","mean_activity","equal-time-point mean module activity within tissue",-0.0646178166848022,0,4,0,"perennial_higher",4,1,0.0646178166848022,78
"anchor_251","HOG:0011497","leaf","early_to_late","last minus first matched time-point module activity",-0.0631127783079822,0,4,0,"perennial_higher",4,1,0.0631127783079822,79
"anchor_163","HOG:0008717","root","mean_activity","equal-time-point mean module activity within tissue",-0.063071290386778,0,4,0,"perennial_higher",4,1,0.063071290386778,80
"anchor_317","HOG:0030885","root","mean_activity","equal-time-point mean module activity within tissue",-0.0625301497146759,0,4,0,"perennial_higher",4,1,0.0625301497146759,81
"anchor_169","HOG:0030801","root","mean_activity","equal-time-point mean module activity within tissue",-0.062290016432945,0,4,0,"perennial_higher",4,1,0.062290016432945,82
